Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
2,21,9,11,3,7,16,5,3,no
3,16,11,25,3,6,17,6,3,yes
0,16,4,20,2,1,10,2,4,no
4,23,8,23,3,0,14,4,2,yes
4,15,18,18,5,10,21,11,5,no
3,18,13,27,2,5,10,10,4,yes
3,24,9,22,2,6,16,7,3,yes
2,20,13,20,2,7,11,4,1,no
2,21,14,19,3,2,16,8,4,yes
1,20,9,20,5,5,17,2,2,no
5,19,5,23,3,5,15,5,2,yes
3,16,7,21,3,6,13,7,2,no
1,25,6,23,2,4,9,8,4,no
0,12,10,14,6,18,20,13,3,no
4,17,19,23,3,3,21,10,4,yes
0,21,6,18,5,2,17,4,8,no
1,13,13,17,1,3,20,1,4,no
2,38,3,23,8,5,16,11,2,yes
1,26,6,27,3,6,26,8,3,yes
0,11,9,14,2,11,16,8,2,no
1,26,10,24,3,0,14,6,1,no
1,22,15,22,1,4,11,11,2,yes
3,16,15,18,3,7,14,6,5,no
3,17,7,20,6,8,14,5,4,yes
2,27,9,22,8,6,13,13,3,no
4,29,25,18,6,5,28,6,5,yes
2,21,17,21,1,6,12,9,4,no
1,20,7,24,5,11,16,11,2,no
2,15,6,24,6,1,24,7,1,no
3,16,17,16,5,8,21,4,1,yes
1,17,6,15,1,2,17,8,3,yes
3,19,4,27,3,5,13,7,5,no
1,13,6,17,1,3,20,3,4,yes
1,27,7,21,3,5,13,8,0,no
2,22,8,17,5,1,23,9,5,no
3,10,4,17,4,6,14,4,4,yes
2,24,6,18,1,1,5,7,2,no
3,25,4,16,2,3,12,9,2,yes
2,21,7,26,8,8,24,4,5,no
4,25,11,21,9,9,12,6,3,yes
2,17,6,26,2,4,9,8,4,no
4,11,14,17,5,9,22,8,4,yes
0,11,6,27,8,4,20,2,5,no
5,22,8,21,13,2,17,2,3,yes
1,21,4,30,3,5,11,10,4,no
1,15,7,15,6,10,17,8,4,yes
0,20,15,24,7,3,23,1,5,no
4,21,5,20,10,8,13,8,4,yes
1,19,5,20,0,4,16,8,1,no
2,13,10,23,4,7,11,10,3,yes
1,27,16,18,2,4,7,5,2,no
2,21,7,21,3,4,11,9,2,yes
2,29,2,24,2,3,12,9,4,yes
1,11,13,19,6,9,23,9,3,no
0,24,8,28,6,6,9,7,4,no
2,21,12,18,6,5,13,14,4,yes
4,24,16,15,2,9,27,8,3,yes
0,28,10,23,3,12,24,7,1,no
2,22,7,9,5,4,17,11,2,no
4,15,13,24,3,8,15,15,3,yes
1,12,13,18,3,3,20,6,0,no
0,25,17,12,2,1,22,11,2,yes
1,25,6,32,0,1,10,10,5,yes
3,21,11,18,1,7,13,7,5,no
1,10,13,13,3,0,23,3,4,no
3,10,6,21,5,4,20,11,1,yes
1,18,6,17,4,11,21,6,3,no
2,20,8,25,7,18,20,3,2,yes
3,12,4,20,3,6,34,3,4,no
3,16,7,29,4,3,29,7,3,no
0,18,10,19,1,4,16,13,4,no
0,11,11,21,7,8,22,8,3,yes
4,22,14,23,1,5,24,6,1,yes
0,18,7,23,1,8,17,12,1,no
1,18,7,16,1,2,10,4,1,yes
1,24,9,26,2,8,10,5,2,no
3,15,5,26,2,2,6,6,3,no
4,21,2,25,1,0,10,6,3,yes
1,14,6,9,2,5,9,7,3,yes
1,21,15,17,0,3,11,7,4,no
1,16,9,12,4,11,26,6,2,no
2,30,3,26,7,6,19,12,4,yes
1,20,7,16,4,4,8,8,5,no
3,22,6,19,4,11,8,9,3,yes
2,22,7,18,1,2,27,5,5,yes
0,19,9,21,2,5,14,7,3,no
2,25,7,32,6,4,15,6,4,no
1,14,13,17,3,4,12,14,4,yes
0,26,3,20,4,1,14,15,2,no
0,21,9,20,3,4,21,5,6,yes
4,17,12,22,4,6,13,6,3,yes
2,30,8,17,4,13,20,10,2,no
0,24,6,21,2,2,15,7,2,no
1,21,9,23,5,7,24,8,3,yes
4,19,8,27,4,1,16,4,2,yes
1,19,12,18,1,2,24,8,1,no
3,24,5,25,4,10,17,9,2,no
3,16,6,21,7,13,20,6,3,yes
4,15,11,20,1,1,29,2,3,no
4,12,11,25,2,4,26,6,2,yes
1,17,14,12,2,9,9,9,1,no
2,15,7,21,3,7,8,9,1,yes
3,18,6,20,3,2,11,12,3,yes
0,21,7,23,3,6,11,8,3,no
2,15,6,20,3,10,17,6,4,yes
3,29,14,26,8,6,16,11,4,no
3,16,11,21,0,4,8,6,2,yes
0,18,5,19,2,11,12,6,5,no
1,20,6,12,2,1,9,4,3,no
1,20,5,20,1,0,9,11,5,no
1,12,12,15,3,6,13,7,2,yes
0,21,6,24,1,6,18,3,2,no
3,16,14,25,3,3,31,10,5,no
3,18,6,17,3,2,22,12,1,no
1,13,8,23,5,3,19,5,3,no
3,18,12,18,4,4,21,6,2,yes
3,25,8,21,3,12,13,9,2,yes
2,18,12,29,6,10,15,11,3,no
2,10,8,16,6,6,15,8,2,no
1,20,8,21,6,4,17,9,4,no
1,18,9,18,0,10,17,4,2,no
3,25,16,30,1,9,14,5,1,yes
1,20,7,16,7,9,10,5,2,yes
2,27,4,28,4,14,16,18,3,no
2,23,7,17,7,7,22,9,2,yes
2,17,12,23,5,5,16,9,0,no
4,22,5,22,3,3,14,15,3,yes
0,21,16,13,2,14,38,5,7,no
6,24,4,24,4,2,15,5,6,yes
2,8,13,21,3,8,16,10,6,no
2,21,12,22,0,4,12,10,5,no
2,18,11,20,2,5,10,9,3,yes
3,18,7,26,2,2,14,14,1,no
3,19,8,19,4,4,18,4,2,no
3,19,6,13,5,2,30,8,2,no
2,16,7,24,5,6,18,5,3,no
0,22,5,20,4,7,20,4,2,no
2,18,12,12,6,12,19,2,4,yes
2,20,11,17,1,2,26,7,1,no
2,20,7,19,6,10,16,7,2,yes
1,21,10,25,1,0,6,9,3,no
2,19,17,21,2,3,7,13,4,yes
0,24,11,27,6,5,7,11,5,no
5,18,7,23,1,12,18,8,4,yes
1,19,16,22,3,4,16,10,3,no
4,18,10,16,5,6,21,6,2,yes
1,16,7,25,7,8,13,8,4,yes
1,27,13,20,6,5,15,7,3,no
1,12,8,25,4,5,13,9,2,no
3,13,13,17,8,4,22,7,1,yes
1,13,12,26,1,3,16,7,4,no
3,13,7,24,4,11,21,10,4,yes
2,22,6,25,2,3,18,4,2,no
3,15,7,17,4,3,19,9,2,yes
2,13,2,21,0,3,6,15,1,no
3,18,15,20,1,1,16,1,4,yes
3,14,8,14,5,7,28,7,2,no
2,16,10,18,6,5,16,3,3,yes
2,18,10,22,3,1,15,10,5,yes
0,13,12,24,5,8,26,9,4,no
0,17,8,25,5,3,13,7,2,no
2,18,3,19,9,5,8,9,1,yes
2,35,10,24,2,1,8,9,2,no
2,16,12,23,2,5,15,3,4,no
2,16,8,23,6,4,23,7,0,no
1,15,11,20,6,7,25,6,1,yes
1,17,8,17,8,8,21,7,2,no
4,20,12,13,5,7,21,4,3,yes
5,24,7,21,3,9,13,12,2,yes
1,17,11,23,6,10,28,4,4,no
2,28,7,17,3,2,18,8,1,yes
1,23,15,22,1,7,12,9,2,no
2,22,11,18,4,6,2,7,2,yes
1,20,2,17,6,12,8,10,3,no
3,21,7,28,2,1,13,9,3,yes
2,17,13,20,7,2,10,10,4,no
1,9,18,24,1,4,18,8,3,no
2,16,14,19,3,5,16,13,3,yes
0,19,9,15,2,4,28,13,2,yes
0,11,11,12,2,5,16,5,2,no
0,24,14,18,3,4,14,10,2,no
2,12,17,15,2,7,25,6,3,yes
1,27,9,18,5,8,17,11,1,no
4,17,11,26,3,6,24,6,4,yes
0,23,3,15,5,11,14,7,3,no
2,24,6,26,5,6,16,7,5,yes
2,16,8,14,4,0,14,5,4,no
3,19,3,30,4,2,12,14,1,yes
2,20,7,23,7,3,8,5,1,yes
2,17,2,23,9,10,6,7,4,no
2,23,15,16,1,2,14,8,1,no
2,26,8,18,0,5,12,14,3,yes
2,20,5,22,3,6,22,16,3,yes
2,18,11,23,9,13,16,14,3,no
2,15,7,19,2,5,9,15,3,no
3,8,8,18,2,5,19,3,3,no
2,14,13,23,8,6,6,7,2,no
1,25,7,25,4,6,11,9,2,yes
3,13,11,16,6,3,14,5,4,no
2,19,1,22,5,5,16,6,2,yes
6,24,14,34,14,14,18,14,4,yes
4,36,12,46,12,10,22,20,4,no
1,15,10,18,3,6,6,6,3,yes
1,21,5,20,8,9,13,5,2,no
1,11,12,19,6,7,16,8,4,no
1,18,8,20,6,5,14,6,2,yes
2,13,11,28,7,2,10,5,4,no
7,24,4,25,4,2,10,7,1,yes
