test_score,train_score,minutes_into_game
0.48847926267281105,0.7004608294930875,200
0.5576036866359447,0.7557603686635944,400
0.5161290322580645,0.6927803379416283,600
0.5576036866359447,0.6113671274961597,800
0.5852534562211982,0.6374807987711214,1000
0.5944700460829493,0.7434715821812596,1200
0.6175115207373272,0.6789554531490015,1400
0.5944700460829493,0.6728110599078341,1600
0.5898617511520737,0.6758832565284179,1800
0.6359447004608295,0.7634408602150538,2000
0.6175115207373272,0.7081413210445469,2200
0.6912442396313364,0.738863287250384,2400
0.6820276497695853,0.7496159754224271,2600
0.7004608294930875,0.7542242703533026,2800
0.7050691244239631,0.7864823348694316,3000
0.7557603686635944,0.7465437788018433,3200
0.7972350230414746,0.7619047619047619,3400
0.7788018433179723,0.7741935483870968,3600
0.7926267281105991,0.7849462365591398,3800
0.7695852534562212,0.8218125960061444,4000
0.7649769585253456,0.8525345622119815,4200
0.783410138248848,0.9001536098310292,4400
0.8202764976958525,0.8648233486943164,4600
0.8387096774193549,0.9155145929339478,4800
0.8341013824884793,0.9262672811059908,5000
0.8341013824884793,0.9523809523809523,5200
0.8847926267281107,0.8894009216589862,5400
0.8894009216589862,0.9001536098310292,5600
0.8986175115207373,0.9431643625192012,5800
0.9400921658986175,0.9262672811059908,6000
