Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
3,21,9,13,4,8,17,5,3,no
3,17,11,25,4,6,17,6,3,yes
0,16,4,21,2,1,10,2,4,no
4,25,8,23,3,1,14,5,2,yes
4,15,19,18,5,10,21,11,5,no
3,18,14,27,2,5,10,11,4,yes
4,24,9,22,2,6,17,7,3,yes
2,20,15,22,2,7,15,4,1,no
2,22,14,19,3,2,17,8,4,yes
1,21,9,22,5,5,17,2,2,no
5,19,6,23,3,5,15,5,2,yes
3,16,7,21,3,6,13,7,2,no
1,28,6,23,2,5,11,8,4,no
0,12,11,16,6,18,21,14,3,no
4,18,19,23,3,5,21,11,4,yes
0,21,7,19,5,2,18,4,8,no
1,16,13,19,1,3,22,2,4,no
2,39,3,25,10,5,16,11,2,yes
1,27,6,27,3,7,26,8,3,yes
0,11,9,14,2,11,16,9,2,no
1,26,11,26,3,1,15,6,1,no
1,24,15,23,1,4,13,11,2,yes
3,17,15,18,3,7,16,6,5,no
3,17,8,20,7,8,15,5,4,yes
2,27,10,24,8,6,14,13,3,no
4,30,25,18,7,6,29,6,5,yes
2,21,17,21,1,6,13,10,4,no
1,22,7,25,5,11,16,12,2,no
2,15,6,24,7,1,25,7,1,no
3,17,18,17,6,8,21,4,1,yes
2,18,6,15,1,2,17,9,3,yes
3,19,5,30,3,6,13,8,5,no
1,15,6,19,1,3,21,4,4,yes
1,27,7,21,3,5,13,8,0,no
2,24,8,18,5,2,24,11,5,no
3,11,4,17,4,6,16,4,4,yes
2,25,6,18,1,2,5,7,2,no
3,25,5,17,3,3,12,9,3,yes
3,21,7,27,8,9,25,4,5,no
4,26,11,22,9,9,12,6,3,yes
2,18,6,26,2,4,9,8,4,no
4,11,14,17,5,9,23,8,4,yes
0,11,7,27,8,4,20,2,5,no
5,22,9,21,13,2,18,2,3,yes
1,21,4,31,3,5,12,10,4,no
1,15,7,15,6,11,18,8,4,yes
0,20,15,25,7,5,24,3,5,no
4,21,5,20,12,8,14,10,4,yes
1,20,5,21,0,4,17,8,1,no
2,14,11,26,4,7,12,10,3,yes
1,27,16,19,2,4,7,7,2,no
2,21,8,22,3,4,11,9,2,yes
3,30,2,25,2,4,12,10,4,yes
1,11,13,19,6,9,23,9,3,no
0,25,8,29,6,6,10,7,4,no
2,21,13,19,6,5,13,14,4,yes
4,25,17,15,2,9,27,8,3,yes
0,30,11,24,3,12,25,7,1,no
2,24,7,10,5,5,18,11,2,no
5,17,13,25,4,8,16,16,3,yes
1,14,13,18,3,3,20,6,0,no
0,25,17,14,2,1,23,11,2,yes
1,25,7,32,0,1,10,10,5,yes
3,21,11,18,1,7,13,8,5,no
1,11,13,14,3,0,23,4,4,no
3,10,7,22,5,4,20,11,2,yes
2,18,7,18,4,11,22,6,3,no
3,23,8,27,7,18,20,3,3,yes
3,14,4,22,3,6,35,3,4,no
3,17,7,30,4,4,30,7,3,no
