Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
3,25,10,19,5,9,22,5,3,no
6,21,12,28,6,7,24,7,3,yes
0,21,7,25,4,1,12,4,4,no
5,27,8,28,4,1,15,5,2,yes
4,23,21,24,6,12,26,11,5,no
4,23,16,30,3,8,13,13,4,yes
5,30,11,25,3,6,18,9,3,yes
3,25,17,27,4,10,17,6,1,no
3,24,16,23,3,2,20,8,4,yes
1,23,11,28,5,7,21,3,2,no
5,20,9,26,5,6,18,8,3,yes
3,21,7,25,4,8,17,7,2,no
2,32,6,27,3,5,12,9,5,no
2,15,12,21,9,19,24,15,5,no
4,28,20,29,5,5,24,12,4,yes
0,24,9,21,7,4,23,5,8,no
1,21,16,22,1,4,28,3,4,no
2,47,4,30,13,5,22,12,2,yes
1,36,8,32,3,8,27,12,3,yes
0,12,12,20,2,14,19,10,2,no
1,27,13,31,8,1,18,6,2,no
2,30,20,27,1,4,16,13,2,yes
3,22,17,22,4,8,19,8,5,no
3,24,12,27,7,11,18,5,4,yes
2,34,10,30,10,9,18,14,5,no
5,36,29,24,8,9,36,8,6,yes
3,27,20,25,1,8,17,13,4,no
1,24,11,28,5,11,19,12,3,no
2,18,12,29,7,1,29,8,1,no
4,21,19,23,7,9,28,5,1,yes
3,21,7,20,1,2,19,10,4,yes
3,28,7,33,3,7,15,10,5,no
2,19,7,21,1,4,25,5,4,yes
1,28,8,25,3,6,14,10,0,no
2,29,11,24,5,4,28,13,6,no
4,15,5,21,4,7,19,5,5,yes
2,29,6,22,1,2,6,8,3,no
4,30,7,20,3,3,14,11,3,yes
4,25,9,27,10,10,30,4,5,no
4,31,16,25,10,9,22,7,3,yes
3,20,9,30,4,5,11,9,4,no
5,17,17,24,7,9,31,9,5,yes
0,15,7,32,8,6,20,5,7,no
7,28,10,26,15,2,20,5,5,yes
1,22,9,33,5,5,13,11,4,no
1,20,7,18,6,11,21,12,4,yes
0,22,18,27,8,8,28,6,5,no
4,24,6,24,13,13,20,12,4,yes
2,25,6,26,1,4,22,11,1,no
2,16,16,28,5,8,13,10,4,yes
2,37,16,20,2,4,11,10,2,no
3,26,10,28,3,6,14,9,2,yes
3,36,4,33,4,5,14,11,5,yes
2,16,17,19,6,11,27,10,3,no
0,30,11,34,7,9,11,7,5,no
2,28,14,23,7,6,16,16,4,yes
5,28,21,18,3,12,29,9,3,yes
1,33,11,31,4,16,28,10,1,no
2,28,8,15,7,5,22,13,5,no
5,20,14,27,6,9,20,18,5,yes
1,19,15,21,3,3,20,8,1,no
0,28,18,20,3,2,27,16,2,yes
2,33,8,35,0,3,16,13,6,yes
3,28,11,23,1,12,17,9,6,no
2,17,16,20,3,0,29,6,4,no
4,13,9,28,5,4,22,14,2,yes
2,25,7,22,6,11,23,6,3,no
4,24,12,31,11,23,26,4,3,yes
3,16,5,27,3,6,40,3,5,no
3,21,8,32,5,4,31,8,4,no
0,22,11,24,2,6,22,16,5,no
0,13,17,25,7,9,31,9,4,yes
5,28,16,32,1,5,28,8,1,yes
0,21,9,25,2,10,23,14,2,no
