Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
2,17,5,9,0,5,14,4,2,no
2,12,8,19,2,5,16,5,3,yes
0,11,4,16,2,0,8,1,3,no
4,17,6,21,3,0,10,4,2,yes
3,14,14,13,4,9,18,9,2,no
1,16,8,17,0,3,7,6,4,yes
1,14,6,14,1,4,14,5,2,yes
1,16,9,14,2,5,10,2,1,no
2,17,11,18,2,2,13,5,3,yes
1,14,8,13,2,5,12,2,1,no
3,14,4,17,3,4,14,5,2,yes
1,9,6,15,1,2,10,4,2,no
1,21,5,17,2,4,6,6,4,no
0,7,9,9,4,14,16,10,3,no
3,12,13,19,1,3,16,3,3,yes
0,20,6,11,5,2,15,2,4,no
1,11,12,15,1,1,16,1,3,no
1,24,2,19,8,5,13,5,1,yes
1,20,5,20,2,4,20,6,0,yes
0,10,8,9,2,8,15,5,1,no
1,17,7,17,2,0,9,5,1,no
0,19,11,16,1,4,10,7,2,yes
3,13,10,14,2,5,13,4,1,no
2,8,6,15,6,6,14,2,2,yes
2,17,8,18,7,4,13,8,2,no
3,27,20,16,4,2,25,5,3,yes
2,15,14,17,0,4,10,5,2,no
0,16,6,18,4,9,13,9,2,no
2,9,5,17,6,0,17,4,1,no
2,14,12,12,5,6,17,3,1,yes
1,17,4,13,1,2,11,7,2,yes
2,14,4,20,3,5,11,6,4,no
1,11,3,10,1,3,18,3,3,yes
0,19,5,16,2,4,11,5,0,no
2,19,4,14,4,0,19,8,4,no
3,9,2,13,4,3,10,4,3,yes
0,19,4,10,1,1,4,6,2,no
3,22,3,12,2,2,10,8,0,yes
2,15,6,21,6,6,18,3,4,no
4,14,9,18,4,7,10,5,3,yes
2,13,6,18,2,2,8,8,3,no
2,10,13,13,2,7,16,7,2,yes
0,9,4,18,7,4,15,2,3,no
1,18,8,19,11,2,16,2,3,yes
0,13,2,21,2,4,10,8,3,no
1,12,5,12,4,7,14,6,3,yes
0,15,14,17,6,2,20,1,4,no
3,16,5,14,7,8,10,7,2,yes
0,16,4,11,0,3,10,7,1,no
1,8,8,18,4,7,9,7,2,yes
1,20,14,15,2,3,6,4,2,no
1,19,6,15,2,4,9,7,2,yes
2,24,1,20,1,3,10,8,2,yes
1,9,11,12,3,5,17,4,2,no
0,20,4,22,4,6,5,6,3,no
1,15,11,11,6,4,11,10,3,yes
4,21,11,11,2,7,25,8,2,yes
0,20,8,20,1,10,21,2,1,no
2,17,5,7,5,4,13,5,2,no
4,9,8,23,3,6,11,10,3,yes
1,10,12,13,2,2,13,4,0,no
0,19,14,10,2,1,18,9,2,yes
1,22,5,24,0,1,7,6,3,yes
3,16,10,13,0,2,9,6,4,no
1,9,7,8,2,0,21,3,2,no
1,7,4,16,2,2,15,6,1,yes
0,14,6,15,1,9,17,4,1,no
2,18,7,19,6,10,15,2,2,yes
3,12,2,15,2,6,28,2,3,no
2,12,5,22,2,2,22,2,3,no
0,14,8,11,1,4,10,13,2,no
0,8,11,18,6,6,16,5,3,yes
4,19,13,19,1,4,21,4,1,yes
0,12,5,20,1,7,10,10,1,no
0,14,5,11,1,1,8,3,1,yes
1,15,6,20,2,6,8,5,1,no
2,11,5,18,2,1,4,6,2,no
2,16,2,19,1,0,8,5,3,yes
0,11,5,4,2,4,8,4,3,yes
0,18,8,15,0,2,10,6,2,no
0,12,8,10,3,9,19,5,2,no
1,28,2,18,7,5,12,8,3,yes
1,16,5,14,2,3,7,8,2,no
0,17,4,10,4,9,7,5,3,yes
1,13,5,14,1,2,25,2,4,yes
0,13,7,14,2,3,12,6,1,no
2,21,7,21,4,4,10,4,4,no
0,13,10,14,2,4,11,11,3,yes
0,19,3,17,4,1,10,12,2,no
0,17,8,17,2,4,17,4,4,yes
3,14,11,15,3,5,10,5,3,yes
1,22,6,12,4,8,18,9,1,no
0,17,5,18,0,2,9,5,1,no
0,19,7,19,4,5,18,6,3,yes
