Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
3,23,9,17,4,9,18,5,3,no
4,19,11,25,5,7,18,6,3,yes
0,17,5,21,2,1,10,3,4,no
4,26,8,24,3,1,14,5,2,yes
4,18,19,23,6,10,22,11,5,no
3,18,15,28,2,7,10,11,4,yes
4,25,9,23,3,6,17,8,3,yes
2,21,15,22,2,8,15,4,1,no
2,23,14,20,3,2,18,8,4,yes
1,21,9,23,5,6,17,2,2,no
5,19,7,24,4,5,15,5,2,yes
3,17,7,22,3,6,13,7,2,no
1,28,6,23,3,5,12,9,4,no
0,13,11,16,7,19,21,14,3,no
4,18,19,23,3,5,23,11,4,yes
0,22,7,19,5,2,18,4,8,no
1,16,13,19,1,3,22,2,4,no
2,41,3,27,12,5,16,11,2,yes
1,30,6,28,3,8,26,9,3,yes
0,11,10,15,2,12,16,9,2,no
1,26,12,26,4,1,15,6,1,no
2,25,16,27,1,4,13,11,2,yes
3,17,15,19,3,7,17,7,5,no
3,19,9,23,7,9,15,5,4,yes
2,30,10,24,9,6,15,13,3,no
4,30,25,19,7,7,31,7,5,yes
2,22,17,23,1,6,15,12,4,no
1,22,8,25,5,11,17,12,3,no
2,15,9,25,7,1,26,7,1,no
3,18,18,18,6,8,22,4,1,yes
2,18,6,16,1,2,17,9,4,yes
3,20,6,30,3,6,15,9,5,no
1,17,7,19,1,3,22,4,4,yes
1,27,7,22,3,5,13,8,0,no
2,25,9,19,5,3,24,11,5,no
3,12,4,18,4,6,18,4,4,yes
2,28,6,18,1,2,6,7,2,no
3,26,7,19,3,3,12,9,3,yes
4,23,7,27,8,10,27,4,5,no
4,28,12,23,9,9,13,6,3,yes
2,18,6,26,2,4,10,8,4,no
4,11,14,18,6,9,25,8,4,yes
0,13,7,27,8,5,20,2,5,no
5,24,10,22,14,2,19,3,4,yes
1,21,6,31,4,5,12,10,4,no
1,17,7,15,6,11,18,9,4,yes
0,20,16,26,7,6,26,4,5,no
4,22,5,20,12,8,15,10,4,yes
1,20,5,22,0,4,19,8,1,no
2,14,11,27,4,8,12,10,3,yes
2,29,16,19,2,4,7,7,2,no
2,21,9,24,3,4,11,9,2,yes
3,32,2,27,3,4,13,10,4,yes
1,12,15,19,6,10,24,9,3,no
0,26,8,29,6,7,10,7,4,no
2,22,13,20,7,5,13,14,4,yes
4,26,17,16,2,9,27,8,3,yes
0,30,11,25,4,14,25,8,1,no
2,25,7,11,6,5,18,11,3,no
5,17,13,25,6,9,16,17,3,yes
1,15,13,18,3,3,20,6,0,no
0,27,17,16,2,2,24,12,2,yes
1,27,7,33,0,2,12,10,5,yes
3,22,11,19,1,7,13,8,6,no
1,13,13,16,3,0,24,6,4,no
3,10,7,22,5,4,20,11,2,yes
2,20,7,18,4,11,22,6,3,no
4,23,9,28,8,18,20,3,3,yes
3,14,4,24,3,6,35,3,5,no
3,19,7,30,4,4,30,8,3,no
0,18,11,21,2,5,17,13,5,no
0,12,13,22,7,8,26,8,4,yes
4,23,15,24,1,5,26,7,1,yes
0,19,7,24,1,9,19,12,1,no
2,24,7,19,1,3,10,5,1,yes
1,24,12,28,2,10,10,5,2,no
4,15,6,28,2,4,7,6,3,no
4,23,2,25,1,1,10,6,3,yes
2,14,6,10,2,5,10,7,3,yes
1,22,15,18,0,5,13,9,4,no
1,19,10,13,5,12,26,9,2,no
2,30,6,26,8,7,22,14,4,yes
1,20,10,19,5,5,8,9,6,no
3,24,7,19,4,12,8,9,3,yes
2,23,8,20,2,3,27,6,6,yes
0,21,9,24,2,6,14,8,3,no
2,25,7,33,6,4,19,6,4,no
2,16,14,20,3,5,17,14,4,yes
0,28,4,23,4,1,14,16,2,no
1,22,10,26,3,4,22,7,6,yes
4,19,14,25,6,6,15,6,4,yes
2,32,9,20,5,16,21,10,2,no
0,28,6,23,3,3,16,7,2,no
1,22,10,24,5,9,27,10,3,yes
5,21,8,30,4,1,18,4,3,yes
1,20,13,20,1,2,24,9,1,no
3,25,7,26,5,10,21,10,3,no
3,18,7,21,7,13,21,8,3,yes
4,19,13,21,1,1,37,3,3,no
4,16,13,29,2,4,29,6,2,yes
2,18,14,13,2,9,11,10,1,no
2,17,7,21,3,8,8,9,2,yes
3,20,8,22,3,3,13,12,4,yes
1,24,7,24,3,6,12,10,3,no
2,15,7,20,4,10,22,6,5,yes
3,33,14,27,9,7,17,14,4,no
3,19,11,23,1,4,8,6,2,yes
0,19,7,20,2,11,12,6,6,no
1,22,6,16,2,1,9,5,4,no
1,21,5,22,1,0,9,11,5,no
1,16,13,16,4,6,20,7,2,yes
0,21,6,25,1,6,19,5,2,no
3,17,14,26,3,3,35,11,6,no
4,19,9,20,3,2,23,13,1,no
1,17,9,25,6,4,20,6,4,no
4,18,12,20,5,4,21,7,3,yes
3,25,12,21,3,12,16,9,2,yes
2,18,12,32,6,11,16,14,3,no
2,11,8,18,6,6,16,11,2,no
2,24,8,23,6,4,21,10,4,no
1,20,10,19,0,11,17,4,3,no
4,26,16,33,1,10,15,5,1,yes
2,23,8,20,9,9,12,6,2,yes
2,27,6,29,4,14,17,18,4,no
2,26,7,18,7,7,22,10,2,yes
2,17,12,25,6,5,18,10,1,no
4,23,7,22,3,3,14,15,3,yes
0,21,16,15,2,15,41,5,7,no
6,26,4,26,4,2,17,6,6,yes
