team,home_status,goals,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,goal_diff,won
New York Islanders,home,0,25,17,6,0.0,0.0,6.0,49.1,4,21,26,-4,no
Calgary Flames,away,3,21,11,10,50.0,1.0,2.0,45.6,6,6,19,-1,no
Tampa Bay Lightning,home,4,33,17,6,50.0,2.0,4.0,54.4,13,7,24,1,yes
New Jersey Devils,away,1,33,17,0,0.0,0.0,1.0,42.1,5,12,17,-1,no
Los Angeles Kings,home,2,38,10,2,0.0,0.0,0.0,57.9,4,5,32,1,yes
Chicago Blackhawks,away,2,29,9,6,0.0,0.0,3.0,47.5,5,12,12,0,no
Florida Panthers,home,2,40,14,6,0.0,0.0,3.0,52.5,13,15,11,0,no
Vancouver Canucks,away,2,27,15,8,0.0,0.0,2.0,45.9,8,10,20,-2,no
Toronto Maple Leafs,home,4,30,20,4,0.0,0.0,4.0,54.1,7,17,10,2,yes
Carolina Hurricanes,away,3,30,22,8,0.0,0.0,2.0,44.1,2,13,24,-1,no
Montréal Canadiens,home,4,39,14,6,0.0,0.0,3.0,55.9,6,22,24,1,yes
Detroit Red Wings,away,3,28,25,10,50.0,1.0,2.0,47.5,2,4,23,0,no
Ottawa Senators,home,3,39,19,4,20.0,1.0,5.0,52.5,7,9,28,0,no
Dallas Stars,away,3,31,22,6,0.0,0.0,0.0,42.9,9,5,27,0,no
St. Louis Blues,home,3,29,10,0,33.3,1.0,3.0,57.1,8,3,27,0,no
Colorado Avalanche,away,3,31,9,6,0.0,0.0,4.0,55.1,10,11,10,1,yes
Nashville Predators,home,2,32,14,8,0.0,0.0,3.0,44.9,12,9,10,-1,no
Buffalo Sabres,away,2,27,15,4,0.0,0.0,2.0,54.0,2,7,28,-3,no
Arizona Coyotes,home,5,31,9,4,0.0,0.0,2.0,46.0,11,10,27,3,yes
Winnipeg Jets,away,2,41,17,4,0.0,0.0,2.0,50.0,7,12,26,-1,no
Edmonton Oilers,home,3,22,18,4,100.0,2.0,2.0,50.0,13,19,27,1,yes
Pittsburgh Penguins,away,0,30,16,8,0.0,0.0,4.0,56.5,8,7,20,-5,no
San Jose Sharks,home,5,32,19,10,0.0,0.0,2.0,43.5,9,5,28,5,yes
Philadelphia Flyers,away,5,26,13,12,60.0,3.0,5.0,49.0,5,9,25,2,yes
New York Rangers,home,3,26,6,20,50.0,3.0,6.0,51.0,8,9,27,-2,no
Calgary Flames,away,3,28,10,6,100.0,1.0,1.0,49.0,7,13,14,3,yes
Florida Panthers,home,0,38,16,2,0.0,0.0,3.0,51.0,17,23,21,-3,no
Vancouver Canucks,away,3,39,10,9,33.3,1.0,3.0,52.3,2,9,21,-2,no
Columbus Blue Jackets,home,5,35,18,11,100.0,2.0,2.0,47.7,4,5,34,2,yes
Washington Capitals,away,4,30,15,19,50.0,1.0,2.0,38.3,3,6,8,1,yes
Minnesota Wild,home,3,40,9,15,50.0,2.0,4.0,61.7,4,7,15,-1,no
New Jersey Devils,away,3,34,21,4,66.7,2.0,3.0,50.0,3,9,27,3,yes
Anaheim Ducks,home,0,34,16,6,0.0,0.0,2.0,50.0,7,12,26,-3,no
Los Angeles Kings,away,4,17,24,10,100.0,2.0,2.0,51.8,8,5,19,3,yes
Vegas Golden Knights,home,1,43,9,6,25.0,1.0,4.0,48.2,15,6,28,-3,no
Colorado Avalanche,away,2,27,18,8,0.0,0.0,4.0,43.1,3,4,13,1,yes
Detroit Red Wings,home,1,18,13,8,0.0,0.0,4.0,56.9,1,9,32,-1,no
Edmonton Oilers,away,8,35,17,4,100.0,1.0,1.0,45.7,8,7,17,5,yes
Nashville Predators,home,3,30,12,2,0.0,0.0,2.0,54.3,4,10,10,-5,no
Boston Bruins,away,2,35,20,7,0.0,0.0,3.0,57.4,7,2,22,1,yes
Tampa Bay Lightning,home,1,21,11,11,0.0,0.0,1.0,42.6,5,3,35,-1,no
Montréal Canadiens,away,6,27,9,13,0.0,0.0,0.0,34.6,7,14,34,4,yes
New York Islanders,home,2,22,13,5,25.0,1.0,4.0,65.4,2,14,32,-4,no
St. Louis Blues,away,3,22,9,6,100.0,1.0,1.0,63.9,3,5,34,2,yes
New York Rangers,home,1,26,12,2,33.3,1.0,3.0,36.1,13,8,24,-2,no
Ottawa Senators,away,3,26,13,10,0.0,0.0,4.0,55.4,4,4,34,-4,no
Pittsburgh Penguins,home,7,35,17,8,20.0,1.0,5.0,44.6,9,9,15,4,yes
Nashville Predators,away,1,38,23,14,20.0,1.0,5.0,61.3,2,5,19,-2,no
Minnesota Wild,home,3,33,17,10,0.0,0.0,7.0,38.7,5,4,23,2,yes
Buffalo Sabres,away,1,26,7,6,0.0,0.0,2.0,44.2,5,7,13,-2,no
Winnipeg Jets,home,3,35,13,4,33.3,1.0,3.0,55.8,8,12,18,2,yes
Anaheim Ducks,away,2,39,20,4,0.0,0.0,3.0,47.7,8,11,31,-4,no
Chicago Blackhawks,home,6,40,10,6,0.0,0.0,2.0,52.3,8,10,14,4,yes
Edmonton Oilers,away,2,27,18,12,40.0,2.0,5.0,37.5,5,17,19,1,yes
Dallas Stars,home,1,43,4,10,16.7,1.0,6.0,62.5,16,15,22,-1,no
New Jersey Devils,away,0,27,17,2,0.0,0.0,3.0,43.3,8,8,25,-3,no
Vegas Golden Knights,home,3,32,15,6,0.0,0.0,1.0,56.7,8,6,14,3,yes
Toronto Maple Leafs,away,2,27,11,4,0.0,0.0,3.0,54.7,7,11,18,-3,no
San Jose Sharks,home,5,38,15,6,50.0,1.0,2.0,45.3,12,10,18,3,yes
Philadelphia Flyers,away,5,29,15,20,20.0,1.0,5.0,47.3,7,12,30,3,yes
Washington Capitals,home,2,27,11,20,0.0,0.0,5.0,52.7,10,18,23,-3,no
Columbus Blue Jackets,away,2,22,22,2,0.0,0.0,1.0,47.9,6,5,12,-1,no
Calgary Flames,home,3,37,12,2,0.0,0.0,1.0,52.1,5,12,15,1,yes
Anaheim Ducks,away,4,30,20,15,0.0,0.0,2.0,40.4,8,2,33,1,yes
Colorado Avalanche,home,3,35,15,13,66.7,2.0,3.0,59.6,9,1,21,-1,no
Arizona Coyotes,away,4,40,11,6,33.3,1.0,3.0,36.2,2,3,26,2,yes
Vancouver Canucks,home,2,38,16,6,33.3,1.0,3.0,63.8,7,8,28,-2,no
Pittsburgh Penguins,away,4,32,10,6,33.3,1.0,3.0,51.9,3,8,7,2,yes
Buffalo Sabres,home,2,30,7,6,0.0,0.0,3.0,48.1,6,4,18,-2,no
Montréal Canadiens,away,0,32,5,21,0.0,0.0,3.0,54.2,2,3,16,-4,no
Tampa Bay Lightning,home,4,23,10,11,33.3,1.0,3.0,45.8,6,3,23,4,yes
Boston Bruins,away,2,28,14,13,25.0,1.0,4.0,52.4,10,14,22,1,yes
Florida Panthers,home,1,33,14,15,0.0,0.0,4.0,47.6,13,15,24,-1,no
Washington Capitals,away,5,34,15,14,0.0,0.0,2.0,41.9,9,5,16,-1,no
New York Rangers,home,6,39,5,6,33.3,2.0,6.0,58.1,12,15,15,1,yes
Carolina Hurricanes,away,1,29,3,4,0.0,0.0,0.0,42.3,5,10,29,-3,no
Philadelphia Flyers,home,4,32,17,0,0.0,0.0,2.0,57.7,5,14,26,3,yes
New York Islanders,away,3,40,11,6,25.0,1.0,4.0,56.0,7,12,22,-1,no
Ottawa Senators,home,4,29,11,8,0.0,0.0,3.0,44.0,9,16,29,1,yes
Dallas Stars,away,0,33,7,8,0.0,0.0,4.0,50.0,4,4,18,-2,no
Nashville Predators,home,2,32,18,8,50.0,2.0,4.0,50.0,13,6,20,2,yes
Edmonton Oilers,away,3,24,13,4,0.0,0.0,1.0,40.4,6,6,37,-1,no
Chicago Blackhawks,home,4,31,12,2,0.0,0.0,2.0,59.6,10,12,28,1,yes
Toronto Maple Leafs,away,0,36,12,6,0.0,0.0,3.0,44.9,6,6,14,0,no
Los Angeles Kings,home,0,30,12,6,0.0,0.0,3.0,55.1,10,8,19,0,no
Minnesota Wild,away,3,27,18,6,0.0,0.0,1.0,53.1,9,5,23,1,yes
San Jose Sharks,home,2,42,10,2,33.3,1.0,3.0,46.9,6,6,26,-1,no
St. Louis Blues,away,2,33,11,4,25.0,1.0,4.0,42.9,12,9,23,-2,no
New Jersey Devils,home,4,32,10,8,0.0,0.0,2.0,57.1,11,16,21,2,yes
Chicago Blackhawks,away,1,33,15,4,0.0,0.0,3.0,50.0,4,8,9,-1,no
Detroit Red Wings,home,2,25,9,6,50.0,1.0,2.0,50.0,4,17,30,1,yes
Vegas Golden Knights,away,0,29,12,4,0.0,0.0,1.0,45.8,2,5,19,-4,no
Winnipeg Jets,home,4,24,16,2,100.0,2.0,2.0,54.2,9,13,16,4,yes
Arizona Coyotes,away,2,34,9,8,0.0,0.0,3.0,44.6,21,9,18,-1,no
Calgary Flames,home,3,34,10,6,25.0,1.0,4.0,55.4,16,27,20,1,yes
Colorado Avalanche,away,3,32,19,10,0.0,0.0,3.0,41.3,4,7,19,-3,no
Vancouver Canucks,home,6,25,22,10,0.0,0.0,3.0,58.7,6,9,24,3,yes
Toronto Maple Leafs,away,1,31,12,9,0.0,0.0,3.0,43.1,7,11,19,-1,no
Anaheim Ducks,home,2,28,13,11,0.0,0.0,2.0,56.9,6,10,18,1,yes
Carolina Hurricanes,away,3,28,17,11,20.0,1.0,5.0,53.2,7,15,33,1,yes
New York Islanders,home,2,26,13,15,0.0,0.0,3.0,46.8,6,19,34,-1,no
Washington Capitals,away,5,28,17,14,0.0,0.0,1.0,47.3,2,5,45,3,yes
Pittsburgh Penguins,home,2,28,10,6,20.0,1.0,5.0,52.7,8,7,26,-3,no
Nashville Predators,away,1,23,27,8,50.0,1.0,2.0,46.0,6,10,10,1,yes
Dallas Stars,home,0,37,15,8,0.0,0.0,2.0,54.0,4,13,33,-1,no
Minnesota Wild,away,3,28,13,8,0.0,0.0,3.0,52.2,1,5,18,-4,no
Los Angeles Kings,home,7,35,13,6,0.0,0.0,4.0,47.8,6,6,27,4,yes
Tampa Bay Lightning,away,5,25,14,48,33.3,1.0,3.0,56.2,10,6,30,2,yes
Boston Bruins,home,3,38,19,46,25.0,1.0,4.0,43.8,8,11,26,-2,no
Montréal Canadiens,away,1,34,13,6,0.0,0.0,3.0,40.7,10,9,26,-3,no
Florida Panthers,home,4,32,15,6,0.0,0.0,3.0,59.3,13,16,20,3,yes
New Jersey Devils,away,6,29,16,6,100.0,1.0,1.0,42.3,7,14,24,2,yes
New York Rangers,home,4,35,22,2,0.0,0.0,3.0,57.7,3,17,28,-2,no
Buffalo Sabres,away,1,39,9,6,0.0,0.0,4.0,38.0,6,15,22,-2,no
Philadelphia Flyers,home,3,24,18,8,0.0,0.0,3.0,62.0,8,10,18,2,yes
Ottawa Senators,away,2,38,11,6,0.0,0.0,1.0,46.6,8,9,20,1,yes
San Jose Sharks,home,1,32,12,2,33.3,1.0,3.0,53.4,9,12,27,-1,no
Columbus Blue Jackets,away,1,46,9,4,0.0,0.0,3.0,43.9,10,5,21,-3,no
Edmonton Oilers,home,4,24,10,6,0.0,0.0,1.0,56.1,7,16,34,3,yes
Carolina Hurricanes,away,6,36,17,14,25.0,1.0,4.0,41.4,8,5,27,4,yes
Pittsburgh Penguins,home,2,30,16,8,14.3,1.0,7.0,58.6,7,16,19,-4,no
Tampa Bay Lightning,away,4,37,12,6,33.3,1.0,3.0,48.1,6,3,17,0,no
Detroit Red Wings,home,4,28,16,6,33.3,1.0,3.0,51.9,7,21,21,0,no
St. Louis Blues,away,2,26,8,25,0.0,0.0,2.0,54.9,10,10,34,2,yes
Chicago Blackhawks,home,0,29,15,11,0.0,0.0,4.0,45.1,6,8,26,-2,no
Vegas Golden Knights,away,5,32,10,2,100.0,1.0,1.0,50.8,7,7,9,2,yes
Calgary Flames,home,3,22,26,2,100.0,1.0,1.0,49.2,11,8,26,-2,no
Minnesota Wild,away,5,30,18,13,66.7,2.0,3.0,51.5,5,13,16,1,yes
Anaheim Ducks,home,4,26,11,11,0.0,0.0,4.0,48.5,7,7,22,-1,no
Columbus Blue Jackets,away,2,22,15,6,0.0,0.0,2.0,52.5,3,3,21,1,yes
Vancouver Canucks,home,1,27,15,4,0.0,0.0,3.0,47.5,4,8,23,-1,no
Colorado Avalanche,away,4,24,11,8,25.0,1.0,4.0,59.6,9,6,21,1,yes
San Jose Sharks,home,3,25,18,8,50.0,2.0,4.0,40.4,12,13,37,-1,no
Washington Capitals,away,2,35,10,6,0.0,0.0,1.0,46.0,3,8,13,0,no
Buffalo Sabres,home,2,26,12,2,33.3,1.0,3.0,54.0,7,6,14,0,no
Arizona Coyotes,away,2,38,15,9,0.0,0.0,2.0,42.9,6,13,26,-2,no
Winnipeg Jets,home,4,34,9,9,0.0,0.0,2.0,57.1,5,6,12,2,yes
Vegas Golden Knights,away,3,48,15,0,50.0,1.0,2.0,46.0,6,14,37,1,yes
Edmonton Oilers,home,2,24,17,4,0.0,0.0,0.0,54.0,12,16,46,-1,no
Colorado Avalanche,away,1,22,15,4,0.0,0.0,1.0,40.7,3,6,26,-2,no
Los Angeles Kings,home,3,35,16,2,0.0,0.0,2.0,59.3,4,10,17,2,yes
Tampa Bay Lightning,away,1,33,12,10,0.0,0.0,4.0,47.9,14,9,29,-1,no
Toronto Maple Leafs,home,2,36,15,8,40.0,2.0,5.0,52.1,15,14,19,1,yes
Nashville Predators,away,4,36,27,4,25.0,1.0,4.0,61.8,6,16,17,2,yes
