team,home_status,goals,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,goal_diff,won
Pittsburgh Penguins,away,3,34,11,6,33.3,1.0,3.0,42.0,8,10,23,-3,no
Philadelphia Flyers,home,6,27,13,6,66.7,2.0,3.0,58.0,6,10,31,3,yes
Chicago Blackhawks,away,1,23,7,8,33.3,1.0,3.0,49.1,4,1,14,-4,no
Tampa Bay Lightning,home,5,33,12,6,50.0,2.0,4.0,50.9,4,1,16,4,yes
Montréal Canadiens,away,4,32,22,13,66.7,2.0,3.0,46.0,6,13,32,-1,no
Toronto Maple Leafs,home,5,34,17,11,50.0,2.0,4.0,54.0,5,9,14,1,yes
Vancouver Canucks,away,5,35,14,8,0.0,0.0,2.0,48.2,5,6,19,2,yes
Edmonton Oilers,home,3,31,17,4,0.0,0.0,4.0,51.8,4,10,18,-2,no
St. Louis Blues,away,4,32,19,8,0.0,0.0,2.0,45.6,3,2,20,3,yes
Colorado Avalanche,home,1,27,11,4,25.0,1.0,4.0,54.4,6,7,21,-3,no
Washington Capitals,away,6,28,11,11,50.0,1.0,2.0,50.9,5,7,19,2,yes
Buffalo Sabres,home,4,26,7,9,33.3,1.0,3.0,49.1,6,9,20,-2,no
Boston Bruins,away,2,37,7,10,40.0,2.0,5.0,57.4,3,6,13,0,no
New Jersey Devils,home,2,22,14,10,0.0,0.0,5.0,42.6,12,19,26,0,no
New York Islanders,away,4,33,20,10,25.0,2.0,8.0,58.8,6,6,25,4,yes
New York Rangers,home,0,24,11,18,0.0,0.0,3.0,41.2,7,5,24,-4,no
Dallas Stars,away,1,25,17,11,0.0,0.0,1.0,43.9,1,4,32,-2,no
Florida Panthers,home,3,52,6,7,0.0,0.0,3.0,56.1,18,6,24,2,yes
Carolina Hurricanes,away,3,43,9,9,33.3,1.0,3.0,59.6,4,8,27,3,yes
Detroit Red Wings,home,0,14,16,11,0.0,0.0,2.0,40.4,2,16,19,-3,no
Columbus Blue Jackets,away,1,30,15,6,0.0,0.0,2.0,54.0,8,1,18,-2,no
Nashville Predators,home,3,35,20,4,0.0,0.0,3.0,46.0,2,5,16,2,yes
Calgary Flames,away,3,26,18,10,33.3,1.0,3.0,45.5,5,11,22,-1,no
Winnipeg Jets,home,4,34,14,8,25.0,1.0,4.0,54.5,8,11,21,1,yes
Vancouver Canucks,away,2,40,10,18,0.0,0.0,5.0,53.6,11,11,24,-3,no
Edmonton Oilers,home,5,46,29,20,50.0,2.0,4.0,46.4,8,12,37,3,yes
San Jose Sharks,away,3,35,22,8,25.0,1.0,4.0,45.3,1,8,18,0,no
Arizona Coyotes,home,3,37,13,8,25.0,1.0,4.0,54.7,6,11,21,0,no
Anaheim Ducks,away,2,22,13,2,0.0,0.0,1.0,57.9,7,1,29,-3,no
Vegas Golden Knights,home,5,29,21,2,0.0,0.0,1.0,42.1,7,9,30,3,yes
Minnesota Wild,away,4,27,7,8,0.0,0.0,6.0,38.7,1,2,22,1,yes
Los Angeles Kings,home,3,34,12,12,25.0,1.0,4.0,61.3,3,8,18,-1,no
Washington Capitals,away,2,21,7,10,0.0,0.0,0.0,46.9,1,5,27,1,yes
Buffalo Sabres,home,1,31,8,0,0.0,0.0,5.0,53.1,3,7,15,-1,no
Pittsburgh Penguins,away,2,33,11,12,20.0,1.0,5.0,54.0,6,5,31,-3,no
Philadelphia Flyers,home,5,20,5,10,16.7,1.0,6.0,46.0,4,8,25,3,yes
Chicago Blackhawks,away,2,37,6,6,25.0,1.0,4.0,50.0,1,2,8,-3,no
Tampa Bay Lightning,home,5,37,8,8,0.0,0.0,3.0,50.0,3,3,14,3,yes
Dallas Stars,away,4,29,9,23,50.0,1.0,2.0,48.3,10,12,33,-1,no
Florida Panthers,home,5,43,17,9,25.0,1.0,4.0,51.7,11,14,23,1,yes
Toronto Maple Leafs,away,3,23,10,22,40.0,2.0,5.0,55.2,4,6,12,-2,no
Ottawa Senators,home,5,24,19,12,20.0,1.0,5.0,44.8,9,9,33,2,yes
St. Louis Blues,away,0,21,7,16,0.0,0.0,4.0,50.0,10,6,21,-8,no
Colorado Avalanche,home,8,38,10,10,71.4,5.0,7.0,50.0,16,2,21,8,yes
Boston Bruins,away,1,28,10,13,0.0,0.0,2.0,64.9,5,6,15,-1,no
New Jersey Devils,home,2,31,7,11,0.0,0.0,3.0,35.1,6,13,23,1,yes
New York Islanders,away,0,23,20,26,0.0,0.0,4.0,55.4,8,9,31,-5,no
New York Rangers,home,5,32,6,8,12.5,1.0,8.0,44.6,13,15,22,5,yes
Carolina Hurricanes,away,2,31,9,4,20.0,1.0,5.0,46.8,1,4,23,-2,no
Detroit Red Wings,home,4,21,16,10,0.0,0.0,2.0,53.2,5,9,14,2,yes
Columbus Blue Jackets,away,2,44,17,6,0.0,0.0,2.0,45.6,3,4,11,-3,no
Nashville Predators,home,5,33,10,4,0.0,0.0,3.0,54.4,4,6,16,3,yes
Toronto Maple Leafs,away,3,40,6,10,25.0,1.0,4.0,62.5,5,8,15,1,yes
Ottawa Senators,home,2,19,21,8,0.0,0.0,5.0,37.5,8,14,30,-1,no
Vancouver Canucks,away,0,32,11,12,0.0,0.0,4.0,60.0,7,9,11,-3,no
Calgary Flames,home,3,35,14,8,50.0,3.0,6.0,40.0,8,7,16,3,yes
Montréal Canadiens,away,5,36,21,6,50.0,1.0,2.0,39.6,3,12,34,4,yes
Edmonton Oilers,home,1,35,11,4,0.0,0.0,3.0,60.4,6,16,32,-4,no
San Jose Sharks,away,3,34,10,10,50.0,2.0,4.0,40.4,7,5,23,-2,no
Arizona Coyotes,home,5,26,15,12,33.3,1.0,3.0,59.6,6,9,22,2,yes
Anaheim Ducks,away,1,22,17,2,0.0,0.0,2.0,50.0,4,3,23,-1,no
Vegas Golden Knights,home,2,33,18,4,0.0,0.0,1.0,50.0,3,2,29,1,yes
Minnesota Wild,away,4,44,8,12,0.0,0.0,5.0,54.5,0,3,17,1,yes
Los Angeles Kings,home,3,33,14,12,0.0,0.0,5.0,45.5,2,16,18,-1,no
Dallas Stars,away,2,22,18,8,0.0,0.0,2.0,44.2,4,0,29,-4,no
Tampa Bay Lightning,home,6,20,9,4,25.0,1.0,4.0,55.8,6,5,26,4,yes
Chicago Blackhawks,away,2,30,8,8,33.3,1.0,3.0,46.7,6,14,24,-3,no
Florida Panthers,home,5,36,14,6,25.0,1.0,4.0,53.3,14,25,30,3,yes
Washington Capitals,away,3,23,9,10,25.0,1.0,4.0,46.9,4,9,46,0,no
Pittsburgh Penguins,home,3,27,10,8,0.0,0.0,5.0,53.1,8,6,33,0,no
Boston Bruins,away,0,27,12,12,0.0,0.0,3.0,49.1,2,10,26,-1,no
New York Islanders,home,1,17,17,8,0.0,0.0,5.0,50.9,7,9,31,1,yes
Buffalo Sabres,away,6,37,17,2,50.0,2.0,4.0,56.5,2,6,28,5,yes
Philadelphia Flyers,home,1,22,12,8,0.0,0.0,1.0,43.5,2,11,24,-5,no
Columbus Blue Jackets,away,3,29,11,24,0.0,0.0,1.0,41.0,2,4,11,1,yes
Detroit Red Wings,home,2,37,15,22,0.0,0.0,2.0,59.0,5,13,14,-1,no
San Jose Sharks,away,4,26,10,6,66.7,2.0,3.0,50.8,5,5,8,-1,no
St. Louis Blues,home,5,33,3,6,0.0,0.0,3.0,49.2,4,1,13,1,yes
Carolina Hurricanes,away,4,24,12,10,25.0,1.0,4.0,33.3,2,6,10,2,yes
Nashville Predators,home,2,33,17,8,20.0,1.0,5.0,66.7,1,6,13,-2,no
Winnipeg Jets,away,1,28,11,4,0.0,0.0,4.0,35.4,6,13,31,-2,no
Toronto Maple Leafs,home,3,38,10,10,100.0,1.0,1.0,64.6,10,12,25,2,yes
Vancouver Canucks,away,2,27,12,14,0.0,0.0,4.0,46.9,6,9,14,-3,no
Calgary Flames,home,5,32,8,8,28.6,2.0,7.0,53.1,5,17,10,3,yes
Montréal Canadiens,away,3,34,9,14,20.0,1.0,5.0,44.4,2,3,31,2,yes
Edmonton Oilers,home,1,26,13,10,0.0,0.0,7.0,55.6,3,8,17,-2,no
Arizona Coyotes,away,2,32,13,10,20.0,1.0,5.0,51.4,7,4,30,-2,no
Vegas Golden Knights,home,4,28,20,10,0.0,0.0,5.0,48.6,5,5,21,2,yes
Minnesota Wild,away,0,34,7,6,0.0,0.0,5.0,46.7,4,2,21,-1,no
Anaheim Ducks,home,1,27,15,12,0.0,0.0,2.0,53.3,4,5,26,1,yes
New Jersey Devils,away,4,28,18,12,50.0,1.0,2.0,50.9,7,10,21,1,yes
New York Rangers,home,3,50,10,4,33.3,2.0,6.0,49.1,6,19,25,-1,no
Buffalo Sabres,away,0,40,7,4,0.0,0.0,3.0,48.4,4,5,18,-3,no
Philadelphia Flyers,home,3,30,16,6,0.0,0.0,2.0,51.6,7,12,37,3,yes
Dallas Stars,away,5,31,10,8,0.0,0.0,1.0,62.5,5,1,22,3,yes
Tampa Bay Lightning,home,2,27,16,2,25.0,1.0,4.0,37.5,2,3,28,-3,no
Chicago Blackhawks,away,4,36,16,8,100.0,2.0,2.0,54.5,8,14,28,-1,no
Florida Panthers,home,5,30,13,4,50.0,2.0,4.0,45.5,9,15,25,1,yes
Washington Capitals,away,4,26,15,6,0.0,0.0,2.0,37.1,2,4,54,-1,no
Pittsburgh Penguins,home,5,30,17,4,66.7,2.0,3.0,62.9,2,4,37,1,yes
Columbus Blue Jackets,away,2,24,17,2,0.0,0.0,2.0,35.7,2,10,15,-1,no
Detroit Red Wings,home,3,27,10,4,100.0,1.0,1.0,64.3,3,11,12,1,yes
Carolina Hurricanes,away,4,28,8,8,66.7,2.0,3.0,48.4,5,5,17,2,yes
Nashville Predators,home,2,38,12,8,33.3,1.0,3.0,51.6,3,9,12,-2,no
Winnipeg Jets,away,4,28,8,10,20.0,1.0,5.0,45.6,4,11,25,1,yes
Ottawa Senators,home,3,41,17,10,40.0,2.0,5.0,54.4,11,9,26,-1,no
Colorado Avalanche,away,3,24,14,6,33.3,2.0,6.0,51.9,2,4,12,1,yes
Los Angeles Kings,home,2,25,12,12,33.3,1.0,3.0,48.1,2,12,18,-1,no
San Jose Sharks,away,1,38,8,10,0.0,0.0,7.0,44.9,2,1,12,0,no
St. Louis Blues,home,1,23,13,14,0.0,0.0,5.0,55.1,2,3,13,0,no
Edmonton Oilers,away,3,22,19,4,33.3,1.0,3.0,42.0,4,6,25,2,yes
Toronto Maple Leafs,home,1,26,6,6,0.0,0.0,2.0,58.0,2,9,20,-2,no
Montréal Canadiens,away,5,36,15,12,100.0,1.0,1.0,53.6,3,3,38,0,no
Vancouver Canucks,home,5,28,12,2,50.0,3.0,6.0,46.4,5,5,34,0,no
Arizona Coyotes,away,2,23,14,14,0.0,0.0,4.0,48.1,9,6,23,-3,no
Vegas Golden Knights,home,5,29,14,8,14.3,1.0,7.0,51.9,5,6,23,3,yes
Minnesota Wild,away,3,32,14,4,25.0,1.0,4.0,44.8,3,13,20,1,yes
Anaheim Ducks,home,2,24,19,8,0.0,0.0,2.0,55.2,6,11,21,-1,no
Philadelphia Flyers,away,4,26,15,6,40.0,2.0,5.0,37.1,10,8,21,0,no
Boston Bruins,home,4,43,9,10,33.3,1.0,3.0,62.9,8,5,24,0,no
New Jersey Devils,away,1,31,14,6,0.0,0.0,1.0,36.7,0,11,24,-3,no
New York Islanders,home,4,35,22,2,66.7,2.0,3.0,63.3,1,11,21,3,yes
Florida Panthers,away,4,37,11,6,25.0,1.0,4.0,40.3,11,11,15,1,yes
Carolina Hurricanes,home,3,35,10,8,33.3,1.0,3.0,59.7,8,15,18,-1,no
Tampa Bay Lightning,away,3,37,12,13,0.0,0.0,1.0,45.5,8,9,29,1,yes
Columbus Blue Jackets,home,2,25,13,7,25.0,1.0,4.0,54.5,6,6,19,-1,no
Winnipeg Jets,away,4,29,10,19,0.0,0.0,7.0,55.1,7,5,14,3,yes
Ottawa Senators,home,1,29,17,27,0.0,0.0,3.0,44.9,4,17,51,-3,no
Montréal Canadiens,away,7,42,5,12,11.1,1.0,9.0,50.8,8,2,17,4,yes
Vancouver Canucks,home,3,17,18,26,20.0,1.0,5.0,49.2,4,9,24,-4,no
Colorado Avalanche,away,2,26,15,10,25.0,1.0,4.0,53.7,0,5,14,-2,no
Los Angeles Kings,home,4,27,19,8,40.0,2.0,5.0,46.3,3,8,15,2,yes
Buffalo Sabres,away,3,27,12,4,0.0,0.0,2.0,60.0,2,3,20,0,no
Washington Capitals,home,3,32,11,6,0.0,0.0,1.0,40.0,5,7,24,0,no
New York Rangers,away,3,34,10,4,25.0,1.0,4.0,34.0,7,4,40,0,no
Pittsburgh Penguins,home,3,28,10,8,50.0,1.0,2.0,66.0,10,11,30,0,no
Detroit Red Wings,away,1,31,10,10,0.0,0.0,5.0,56.9,9,12,31,-3,no
Chicago Blackhawks,home,4,28,17,10,40.0,2.0,5.0,43.1,9,15,24,3,yes
Edmonton Oilers,away,2,32,17,4,0.0,0.0,2.0,44.0,2,8,34,-2,no
Toronto Maple Leafs,home,4,29,15,4,100.0,2.0,2.0,56.0,9,17,26,2,yes
San Jose Sharks,away,1,29,12,8,0.0,0.0,3.0,57.6,4,2,7,-3,no
Minnesota Wild,home,4,29,24,8,0.0,0.0,3.0,42.4,4,3,8,3,yes
Nashville Predators,away,0,34,14,16,0.0,0.0,5.0,56.3,6,6,14,-7,no
Dallas Stars,home,7,28,13,10,62.5,5.0,8.0,43.7,2,15,21,7,yes
Vegas Golden Knights,away,2,31,21,12,25.0,1.0,4.0,59.2,4,6,24,-3,no
Arizona Coyotes,home,5,26,13,8,33.3,2.0,6.0,40.8,8,8,22,3,yes
Colorado Avalanche,away,3,32,11,10,25.0,1.0,4.0,53.8,7,11,20,1,yes
Anaheim Ducks,home,2,38,21,8,0.0,0.0,5.0,46.2,6,10,19,-1,no
Philadelphia Flyers,away,1,17,10,8,0.0,0.0,2.0,54.2,6,6,24,-5,no
Boston Bruins,home,6,26,14,4,75.0,3.0,4.0,45.8,9,4,26,5,yes
Florida Panthers,away,2,23,14,12,0.0,0.0,5.0,49.3,4,7,21,-2,no
Carolina Hurricanes,home,4,26,12,12,20.0,1.0,5.0,50.7,7,16,26,2,yes
Tampa Bay Lightning,away,2,32,8,4,33.3,1.0,3.0,50.8,2,4,24,-3,no
Columbus Blue Jackets,home,5,28,9,6,0.0,0.0,2.0,49.2,5,4,24,3,yes
Los Angeles Kings,away,2,23,3,4,20.0,1.0,5.0,44.1,1,4,10,-2,no
St. Louis Blues,home,4,30,17,10,50.0,1.0,2.0,55.9,1,1,17,2,yes
Ottawa Senators,away,3,21,14,11,0.0,0.0,2.0,47.2,5,9,29,-3,no
Winnipeg Jets,home,6,38,14,9,66.7,2.0,3.0,52.8,6,6,20,3,yes
Montréal Canadiens,away,5,33,12,23,0.0,0.0,3.0,39.3,4,2,20,3,yes
Vancouver Canucks,home,2,25,18,23,0.0,0.0,3.0,60.7,8,11,32,-3,no
New York Islanders,away,0,28,9,4,0.0,0.0,2.0,61.0,5,5,16,-2,no
New Jersey Devils,home,2,24,6,4,50.0,1.0,2.0,39.0,11,7,12,2,yes
Buffalo Sabres,away,3,48,15,6,60.0,3.0,5.0,51.4,2,1,11,0,no
Washington Capitals,home,3,31,16,10,66.7,2.0,3.0,48.6,3,6,16,0,no
New York Rangers,away,2,26,14,0,0.0,0.0,2.0,50.9,7,4,32,-1,no
Pittsburgh Penguins,home,3,19,13,4,0.0,0.0,0.0,49.1,9,10,33,1,yes
Detroit Red Wings,away,2,27,11,4,40.0,2.0,5.0,50.0,10,10,34,-4,no
Chicago Blackhawks,home,6,35,14,10,50.0,1.0,2.0,50.0,8,12,26,4,yes
Los Angeles Kings,away,6,35,12,6,25.0,1.0,4.0,50.0,5,18,17,3,yes
St. Louis Blues,home,3,31,14,10,0.0,0.0,2.0,50.0,7,14,34,-3,no
Edmonton Oilers,away,4,38,13,4,0.0,0.0,3.0,50.9,4,5,20,1,yes
Winnipeg Jets,home,3,38,20,6,50.0,1.0,2.0,49.1,2,11,15,-1,no
Toronto Maple Leafs,away,3,32,15,8,25.0,1.0,4.0,52.0,9,9,9,1,yes
Calgary Flames,home,2,33,3,8,25.0,1.0,4.0,48.0,7,12,13,-1,no
San Jose Sharks,away,5,36,10,12,25.0,1.0,4.0,57.1,3,2,15,2,yes
Minnesota Wild,home,3,29,17,12,25.0,1.0,4.0,42.9,8,4,12,-2,no
Nashville Predators,away,2,17,26,8,25.0,1.0,4.0,50.8,3,8,24,-1,no
Dallas Stars,home,3,22,17,8,75.0,3.0,4.0,49.2,3,6,18,1,yes
Vegas Golden Knights,away,1,27,15,4,0.0,0.0,2.0,61.4,2,5,34,1,yes
Arizona Coyotes,home,0,16,16,4,0.0,0.0,2.0,38.6,4,5,27,-1,no
Colorado Avalanche,away,1,33,16,6,0.0,0.0,4.0,54.5,5,9,22,-2,no
Anaheim Ducks,home,3,15,23,8,0.0,0.0,3.0,45.5,6,10,32,2,yes
Ottawa Senators,away,1,36,11,16,0.0,0.0,5.0,36.4,6,9,23,-6,no
Vancouver Canucks,home,7,35,14,22,0.0,0.0,2.0,63.6,4,8,29,6,yes
Pittsburgh Penguins,away,2,30,7,6,0.0,0.0,6.0,30.3,6,14,29,-1,no
Boston Bruins,home,3,36,11,12,33.3,1.0,3.0,69.7,9,7,26,1,yes
New York Rangers,away,2,30,8,8,0.0,0.0,3.0,30.4,5,1,24,-1,no
Buffalo Sabres,home,3,24,6,6,50.0,2.0,4.0,69.6,8,3,17,1,yes
Philadelphia Flyers,away,5,31,11,2,40.0,2.0,5.0,51.7,8,6,10,2,yes
New Jersey Devils,home,3,26,4,10,0.0,0.0,1.0,48.3,10,12,10,-2,no
New York Islanders,away,2,34,21,7,0.0,0.0,3.0,50.0,2,3,18,-1,no
Washington Capitals,home,3,37,16,6,50.0,1.0,2.0,50.0,0,8,14,1,yes
Tampa Bay Lightning,away,4,32,15,6,25.0,1.0,4.0,43.8,3,8,29,2,yes
Carolina Hurricanes,home,2,36,15,8,33.3,1.0,3.0,56.2,13,20,22,-2,no
Florida Panthers,away,3,31,10,12,0.0,0.0,3.0,50.0,3,6,17,0,no
Columbus Blue Jackets,home,3,22,12,6,0.0,0.0,6.0,50.0,2,8,23,0,no
Chicago Blackhawks,away,2,20,17,8,50.0,1.0,2.0,46.8,10,6,9,-1,no
Nashville Predators,home,3,39,10,4,0.0,0.0,4.0,53.2,4,9,12,1,yes
Edmonton Oilers,away,4,26,11,10,100.0,2.0,2.0,41.1,8,6,17,-2,no
Winnipeg Jets,home,6,33,5,4,20.0,1.0,5.0,58.9,6,9,20,2,yes
Toronto Maple Leafs,away,4,21,11,10,50.0,1.0,2.0,44.6,8,9,11,1,yes
Calgary Flames,home,3,26,9,4,25.0,1.0,4.0,55.4,10,10,17,-1,no
Los Angeles Kings,away,2,21,18,6,0.0,0.0,3.0,50.9,5,7,8,1,yes
Minnesota Wild,home,1,33,10,6,0.0,0.0,3.0,49.1,10,13,15,-1,no
Detroit Red Wings,away,1,21,14,8,0.0,0.0,3.0,46.2,6,9,18,-1,no
Dallas Stars,home,2,22,12,6,25.0,1.0,4.0,53.8,6,8,22,1,yes
San Jose Sharks,away,3,30,14,10,0.0,0.0,5.0,52.9,8,6,14,-4,no
Colorado Avalanche,home,7,42,6,20,20.0,1.0,5.0,47.1,6,4,12,4,yes
Anaheim Ducks,away,1,24,15,6,0.0,0.0,1.0,54.5,4,3,23,1,yes
Arizona Coyotes,home,0,31,11,2,0.0,0.0,3.0,45.5,5,6,23,-1,no
St. Louis Blues,away,4,25,16,17,20.0,1.0,5.0,53.0,7,4,30,0,no
Vegas Golden Knights,home,4,46,14,15,16.7,1.0,6.0,47.0,6,8,20,0,no
Chicago Blackhawks,away,1,30,14,8,0.0,0.0,4.0,40.5,3,8,10,0,no
Nashville Predators,home,1,42,18,8,0.0,0.0,4.0,59.5,10,8,18,0,no
Ottawa Senators,away,1,43,13,6,25.0,1.0,4.0,50.0,4,4,25,-4,no
Vancouver Canucks,home,5,35,11,8,33.3,1.0,3.0,50.0,2,9,16,4,yes
Pittsburgh Penguins,away,1,17,9,4,0.0,0.0,3.0,37.2,8,14,26,-3,no
Boston Bruins,home,4,20,9,6,50.0,1.0,2.0,62.8,11,10,20,3,yes
New York Rangers,away,3,39,12,10,0.0,0.0,3.0,47.4,5,3,16,1,yes
Buffalo Sabres,home,2,25,14,8,25.0,1.0,4.0,52.6,4,12,16,-1,no
Philadelphia Flyers,away,3,17,16,8,0.0,0.0,2.0,73.6,7,6,14,2,yes
New Jersey Devils,home,1,34,9,4,0.0,0.0,4.0,26.4,6,7,14,-2,no
New York Islanders,away,3,30,13,16,33.3,1.0,3.0,55.4,3,5,19,-3,no
Washington Capitals,home,6,23,18,6,66.7,2.0,3.0,44.6,4,1,15,3,yes
Tampa Bay Lightning,away,0,32,15,8,0.0,0.0,3.0,50.9,8,10,27,-1,no
Carolina Hurricanes,home,1,35,15,6,0.0,0.0,4.0,49.1,14,18,25,1,yes
Florida Panthers,away,2,35,10,10,0.0,0.0,1.0,54.4,10,6,18,0,no
Columbus Blue Jackets,home,2,31,13,6,33.3,1.0,3.0,45.6,7,9,27,0,no
Calgary Flames,away,2,25,17,13,25.0,1.0,4.0,50.0,5,9,26,-2,no
Montréal Canadiens,home,4,21,17,15,66.7,2.0,3.0,50.0,0,15,18,2,yes
Toronto Maple Leafs,away,4,27,14,14,50.0,2.0,4.0,47.1,8,20,24,1,yes
Edmonton Oilers,home,3,29,10,8,28.6,2.0,7.0,52.9,7,23,18,-1,no
Ottawa Senators,away,1,37,11,15,0.0,0.0,5.0,45.5,7,6,36,-3,no
Vancouver Canucks,home,4,25,19,17,25.0,1.0,4.0,54.5,8,8,22,3,yes
Los Angeles Kings,away,3,35,7,15,28.6,2.0,7.0,55.1,4,5,9,-2,no
Minnesota Wild,home,5,28,22,32,0.0,0.0,4.0,44.9,7,4,10,2,yes
Detroit Red Wings,away,3,23,7,6,14.3,1.0,7.0,50.0,1,9,8,-4,no
Dallas Stars,home,7,29,21,14,50.0,1.0,2.0,50.0,8,15,14,4,yes
San Jose Sharks,away,0,21,18,8,0.0,0.0,4.0,44.8,4,1,15,-3,no
Colorado Avalanche,home,3,38,15,8,25.0,1.0,4.0,55.2,6,4,12,3,yes
Anaheim Ducks,away,2,16,17,12,50.0,1.0,2.0,43.4,4,10,18,-1,no
Arizona Coyotes,home,3,34,12,6,20.0,1.0,5.0,56.6,5,12,26,1,yes
St. Louis Blues,away,1,16,16,6,0.0,0.0,2.0,52.5,9,5,23,-4,no
Vegas Golden Knights,home,5,35,18,4,66.7,2.0,3.0,47.5,19,3,25,4,yes
Columbus Blue Jackets,away,2,27,21,6,50.0,1.0,2.0,42.6,1,7,21,1,yes
Chicago Blackhawks,home,1,32,11,4,33.3,1.0,3.0,57.4,2,11,14,-1,no
New Jersey Devils,away,3,34,12,10,20.0,1.0,5.0,39.1,5,7,17,0,no
Buffalo Sabres,home,3,31,12,10,20.0,1.0,5.0,60.9,12,2,17,0,no
Pittsburgh Penguins,away,5,38,9,10,0.0,0.0,4.0,57.4,4,11,22,1,yes
New York Rangers,home,4,34,13,8,20.0,1.0,5.0,42.6,6,19,25,-1,no
New York Islanders,away,2,28,11,2,0.0,0.0,4.0,50.0,4,10,31,-1,no
Philadelphia Flyers,home,3,17,14,8,0.0,0.0,1.0,50.0,4,10,24,1,yes
Boston Bruins,away,3,43,10,2,25.0,1.0,4.0,55.1,8,9,15,-1,no
Washington Capitals,home,4,23,26,8,100.0,1.0,1.0,44.9,11,9,38,1,yes
Dallas Stars,away,1,11,14,10,16.7,1.0,6.0,47.0,3,11,38,-3,no
Carolina Hurricanes,home,4,26,12,12,60.0,3.0,5.0,53.0,4,6,26,3,yes
Nashville Predators,away,3,26,11,34,40.0,2.0,5.0,38.2,0,0,17,-1,no
Tampa Bay Lightning,home,4,33,11,30,28.6,2.0,7.0,61.8,3,2,21,1,yes
Florida Panthers,away,3,26,8,8,66.7,2.0,3.0,47.5,4,9,19,1,yes
Detroit Red Wings,home,2,27,12,6,0.0,0.0,4.0,52.5,7,10,14,-1,no
Calgary Flames,away,2,33,22,14,16.7,1.0,6.0,52.5,6,14,23,2,yes
Montréal Canadiens,home,0,37,9,16,0.0,0.0,5.0,47.5,4,17,17,-2,no
Vancouver Canucks,away,4,39,12,6,0.0,0.0,3.0,55.0,6,7,14,3,yes
Winnipeg Jets,home,1,24,12,10,0.0,0.0,1.0,45.0,8,15,10,-3,no
Toronto Maple Leafs,away,3,29,16,4,50.0,1.0,2.0,41.9,8,8,17,-1,no
Edmonton Oilers,home,4,31,10,4,50.0,1.0,2.0,58.1,9,10,19,1,yes
Colorado Avalanche,away,5,33,4,4,28.6,2.0,7.0,47.7,5,3,5,4,yes
Minnesota Wild,home,1,20,18,14,0.0,0.0,2.0,52.3,7,2,21,-4,no
St. Louis Blues,away,6,30,11,13,50.0,1.0,2.0,51.0,5,15,25,5,yes
Anaheim Ducks,home,1,24,10,11,0.0,0.0,3.0,49.0,4,16,26,-5,no
New Jersey Devils,away,5,37,9,8,0.0,0.0,3.0,41.9,10,4,9,2,yes
Buffalo Sabres,home,3,33,10,6,50.0,2.0,4.0,58.1,9,10,15,-2,no
New York Islanders,away,3,36,11,8,16.7,1.0,6.0,49.1,4,12,19,-1,no
Philadelphia Flyers,home,4,29,8,12,25.0,1.0,4.0,50.9,4,6,15,1,yes
Dallas Stars,away,3,29,11,10,0.0,0.0,5.0,47.1,7,6,31,0,no
Carolina Hurricanes,home,3,40,9,10,20.0,1.0,5.0,52.9,10,6,17,0,no
Florida Panthers,away,3,30,9,8,50.0,2.0,4.0,51.8,3,5,16,1,yes
Detroit Red Wings,home,2,34,9,10,0.0,0.0,3.0,48.2,1,2,11,-1,no
Columbus Blue Jackets,away,1,33,15,6,0.0,0.0,2.0,53.5,9,11,39,-2,no
Chicago Blackhawks,home,3,36,15,6,0.0,0.0,2.0,46.5,7,12,30,2,yes
Ottawa Senators,away,5,38,12,10,40.0,2.0,5.0,40.9,1,11,19,-3,no
Edmonton Oilers,home,8,31,14,10,80.0,4.0,5.0,59.1,6,9,14,3,yes
Colorado Avalanche,away,3,25,8,6,0.0,0.0,4.0,47.0,2,0,9,-1,no
Minnesota Wild,home,4,33,14,8,0.0,0.0,3.0,53.0,3,5,14,1,yes
St. Louis Blues,away,4,23,18,4,50.0,1.0,2.0,44.8,4,12,26,3,yes
Anaheim Ducks,home,1,26,23,4,50.0,1.0,2.0,55.2,5,16,31,-3,no
Pittsburgh Penguins,away,1,26,13,13,0.0,0.0,6.0,70.8,5,8,25,-2,no
New York Rangers,home,3,24,20,17,25.0,1.0,4.0,29.2,7,8,26,2,yes
Boston Bruins,away,5,33,8,13,0.0,0.0,4.0,50.0,8,2,27,2,yes
Washington Capitals,home,3,26,19,13,25.0,1.0,4.0,50.0,9,11,17,-2,no
Nashville Predators,away,2,31,11,8,0.0,0.0,3.0,55.8,0,3,19,-3,no
Tampa Bay Lightning,home,5,28,17,6,25.0,1.0,4.0,44.2,7,2,18,3,yes
Vancouver Canucks,away,2,29,9,6,0.0,0.0,3.0,49.1,7,11,30,-4,no
Montréal Canadiens,home,6,40,13,6,33.3,1.0,3.0,50.9,3,19,26,4,yes
Calgary Flames,away,3,28,13,8,0.0,0.0,2.0,50.0,2,10,15,0,no
Winnipeg Jets,home,3,28,12,4,50.0,2.0,4.0,50.0,10,10,17,0,no
Vegas Golden Knights,away,3,26,10,10,60.0,3.0,5.0,59.3,10,5,23,2,yes
San Jose Sharks,home,1,25,15,14,0.0,0.0,3.0,40.7,9,7,27,-2,no
