Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
1,-5,2,10,1,-2,2,2,0,yes
5,7,1,2,0,0,3,1,-2,yes
0,1,-6,6,-3,-4,-14,2,-1,yes
-1,-3,6,2,1,3,-1,-4,-2,no
-2,-2,-5,4,2,5,1,-5,-2,no
-2,1,-2,-2,-2,1,-4,0,-1,no
0,-16,5,-7,6,14,12,6,0,no
-4,-1,-12,-7,2,-1,-2,-7,4,no
1,26,-12,7,12,1,-7,9,-2,yes
-1,-22,4,-14,-1,5,-7,-1,-1,no
1,2,8,-3,-7,3,-2,6,1,yes
0,2,-6,6,3,2,-1,-2,-1,yes
3,3,19,-7,-2,0,15,-6,1,yes
-2,1,-9,3,4,3,2,0,-1,no
2,1,8,-4,0,8,-2,-3,0,yes
0,2,0,13,2,5,-4,0,1,no
-1,9,1,4,2,3,-9,4,-4,no
1,-13,-6,-1,-1,4,-9,-8,-1,yes
1,1,1,0,2,1,6,4,0,yes
0,7,4,-2,1,-1,-12,2,-2,yes
2,-4,9,-6,3,4,18,0,1,yes
6,12,3,-6,6,-3,-1,-1,-1,yes
0,-3,-1,-14,1,6,8,-1,0,yes
4,2,-12,-3,5,4,-9,6,-1,yes
0,-8,7,2,4,4,-9,0,3,yes
1,-9,-6,7,1,2,5,0,0,yes
-1,-21,15,-13,2,6,13,-1,-1,no
2,-4,3,-12,1,-4,6,9,-1,yes
-5,7,-9,10,2,4,-1,1,-2,no
3,-7,5,12,-1,4,-3,6,0,yes
-1,8,3,-1,0,-1,5,8,1,yes
1,-8,3,-11,1,9,2,-4,0,no
2,-4,-6,8,2,4,-6,6,-2,yes
2,0,5,8,4,10,3,-3,0,yes
0,5,3,5,2,-2,-7,5,-1,no
0,-8,6,0,5,4,9,-4,-1,yes
-5,-4,-7,-5,1,5,-7,7,0,no
-2,3,5,8,2,7,0,0,1,no
1,7,-4,-2,1,-3,4,-1,0,yes
-2,10,8,14,-1,-1,3,3,0,no
1,10,-4,14,4,-2,-3,6,2,yes
3,5,-3,1,0,8,-3,2,-3,yes
-2,-7,4,5,0,3,-15,3,-2,no
1,-8,5,-9,-2,1,-2,7,0,yes
1,-6,7,5,-1,2,8,-9,4,yes
-1,12,-4,-3,-1,9,4,5,-3,no
1,-9,7,1,4,6,12,3,1,yes
-3,2,4,-10,-2,1,5,6,-3,no
0,-9,1,-10,3,2,0,0,-1,yes
0,-1,0,8,1,1,-11,3,-1,yes
0,-4,-8,9,1,1,-4,-2,1,yes
-1,10,2,0,0,3,-5,-2,-1,no
1,17,7,7,6,-3,-1,6,0,no
-2,0,-3,-3,1,7,5,1,4,no
0,-7,4,5,-1,-1,3,5,3,no
-1,6,-10,10,-2,0,-6,0,1,no
0,2,-2,-6,0,1,-8,0,-5,no
3,4,3,0,-2,-1,0,1,-3,yes
-1,-9,4,9,3,-1,-1,6,2,no
-1,14,-3,7,-1,-3,5,-1,2,no
3,3,10,14,1,0,-2,2,-2,yes
0,0,-1,12,-5,5,5,10,2,no
0,-11,5,5,-2,-2,-7,2,-2,no
-4,0,8,-5,-2,11,30,-10,3,no
-3,-15,12,-3,-4,7,5,4,0,no
0,-2,5,-4,3,1,1,-5,-1,yes
0,2,-1,-8,3,2,6,-7,2,no
0,-6,-1,15,1,5,-12,0,2,no
3,-3,7,-8,-1,2,-3,1,0,yes
1,3,-7,3,7,7,-12,0,0,yes
1,0,11,-5,0,2,1,4,0,yes
6,-14,1,-8,-4,8,12,-8,-1,yes
2,-8,-7,-7,1,2,-2,-8,-1,yes
0,7,6,-6,-1,-4,1,-1,0,no
4,1,5,-4,3,-1,7,1,-1,yes
2,7,-5,1,3,13,4,3,-1,yes
2,-9,1,-5,3,1,-1,4,0,yes
1,3,12,0,1,-3,10,-13,2,yes
0,10,2,-2,1,-4,-10,1,0,yes
-1,-4,5,8,3,7,10,0,0,no
