,Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,Stoppage,Period Start,Official Challenge,won
118,0,0,0,0,2,1,0,1,0,0,,,no
119,0,1,1,3,0,1,2,0,0,0,,,no
120,0,0,0,1,0,1,0,0,0,0,,,no
121,0,0,1,0,0,0,1,1,0,0,,,yes
122,0,0,0,1,0,1,0,1,0,0,,,yes
123,0,3,0,1,0,0,1,4,0,0,,,no
124,0,1,0,0,0,0,2,0,0,0,,,yes
125,1,1,0,3,1,0,1,0,0,0,,,no
126,0,2,2,4,0,0,0,0,0,0,,,yes
127,0,2,1,0,0,1,2,0,0,0,,,no
128,1,2,0,1,0,1,0,0,0,0,,,yes
129,0,0,1,1,0,0,3,1,0,0,,,no
130,0,1,0,1,0,0,2,0,0,0,,,no
131,0,0,1,1,0,1,1,1,0,0,,,yes
132,0,1,1,1,0,0,0,0,0,0,,,no
133,0,0,0,1,0,1,0,0,0,0,,,no
134,0,1,0,0,0,0,1,1,0,0,,,no
135,0,0,0,3,0,0,1,0,0,0,,,no
136,0,1,1,1,0,1,1,0,0,0,,,no
137,0,1,0,1,0,1,1,0,0,0,,,yes
138,0,0,0,0,0,0,0,1,0,0,,,no
139,0,0,1,2,1,3,1,0,0,0,,,yes
140,0,3,0,2,0,0,0,0,0,0,0.0,,no
141,0,0,3,0,0,0,0,1,1,0,,,yes
142,0,1,0,1,0,0,0,0,0,0,,,no
143,0,0,1,1,0,2,4,0,0,0,,,yes
144,0,0,1,1,0,1,2,1,0,0,,,no
145,0,0,1,1,1,0,0,1,0,0,,,yes
146,0,3,0,3,0,0,2,0,0,0,,,yes
147,0,0,1,2,0,0,1,0,1,0,,,no
148,0,0,1,0,0,0,1,1,0,0,,,no
149,0,0,0,2,0,0,0,0,0,0,,,yes
150,0,1,1,2,1,1,3,0,0,0,,,no
151,0,0,0,0,0,0,1,0,0,0,,,yes
152,0,0,0,1,0,0,1,0,0,0,,,no
153,0,0,0,1,0,0,2,0,0,0,,,yes
154,0,0,0,2,0,0,1,0,0,0,,,no
155,0,2,0,2,0,0,3,0,0,0,,,yes
156,0,1,0,1,1,0,1,1,0,0,,,no
157,0,0,1,1,0,1,1,0,0,0,,,yes
158,0,1,0,1,0,0,2,1,0,0,,,yes
159,0,0,0,0,0,1,3,0,0,0,,,no
160,0,0,0,2,0,0,1,0,0,0,,,no
161,0,2,0,1,2,0,0,0,0,0,,,yes
162,0,2,1,0,0,0,1,1,0,0,,,no
163,0,1,0,3,0,0,2,0,0,0,,,no
164,0,0,0,2,0,0,2,0,0,0,,,no
165,0,1,0,0,1,0,2,0,0,0,,,yes
166,0,0,0,3,0,0,0,2,0,0,,,no
167,0,2,0,1,0,1,1,0,1,0,,,yes
168,0,2,0,1,0,0,1,1,0,0,,,yes
169,0,1,0,1,0,0,1,0,0,0,,,no
170,0,1,2,1,0,0,0,0,0,0,,,yes
171,0,4,0,3,0,0,3,0,0,0,,,no
172,0,0,0,0,1,0,0,0,0,0,,,yes
173,0,1,0,1,0,0,1,2,0,0,,,no
174,0,3,0,3,0,0,0,0,0,0,,,yes
175,0,0,0,2,0,0,0,0,0,0,,,no
176,0,0,3,0,0,0,1,0,0,0,,,no
177,0,0,1,1,0,1,1,0,0,0,,,yes
178,0,0,0,1,0,1,0,1,0,0,,,yes
179,0,0,0,1,0,0,0,1,0,0,,,no
180,0,0,2,0,0,0,0,1,0,0,,,no
181,1,1,1,3,0,0,1,0,0,0,,,yes
182,0,1,0,2,1,0,0,1,0,0,,,no
183,0,1,0,2,0,0,1,0,0,0,,,yes
184,0,1,0,1,0,0,2,0,0,0,,,no
185,0,3,0,1,0,0,1,0,0,0,,,yes
186,0,2,0,1,0,0,1,0,0,0,,,no
187,0,0,0,0,0,0,1,0,0,0,,,yes
188,0,1,2,0,0,0,0,0,1,0,,,yes
189,0,2,0,4,0,0,0,0,0,0,,,no
190,0,1,1,0,0,0,1,0,0,0,,,no
191,0,0,0,2,0,0,1,1,0,0,,,yes
192,0,2,0,1,0,0,1,1,0,0,,,yes
193,0,1,1,3,2,2,1,0,0,0,,,no
194,0,2,0,0,0,0,0,0,0,0,,,no
195,0,0,0,1,0,1,0,0,0,0,,,no
196,0,0,2,2,0,1,0,0,0,0,,,no
197,0,4,0,4,1,0,1,0,0,0,,,yes
198,1,0,0,3,0,0,0,0,0,0,,,no
199,0,1,0,3,0,0,1,0,1,0,,,yes
200,0,0,0,0,0,0,0,2,0,0,,,yes
201,0,0,0,8,0,0,2,0,0,0,,,no
202,0,1,0,2,0,0,0,1,0,0,,,yes
203,0,0,0,2,0,1,0,0,1,0,,,no
204,0,0,0,1,1,0,1,0,0,0,,,no
205,0,1,0,3,0,0,1,2,0,0,,,yes
206,0,1,0,1,1,0,0,0,0,0,,,no
207,0,1,0,2,0,0,1,0,0,0,,,yes
208,0,0,0,0,0,0,1,0,0,0,,,yes
