Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
-1,6,-12,-1,-2,2,-6,11,1,no
-2,-13,1,-5,3,9,-5,10,2,no
0,2,-6,8,2,2,2,6,-1,yes
-4,-11,14,2,1,-1,15,-2,3,no
-5,-1,-1,-2,-1,1,1,3,-1,no
-1,-1,1,8,-1,7,5,2,-1,no
0,-10,-3,4,-1,-5,-4,4,3,yes
-1,12,-4,6,4,1,-14,0,-1,no
-2,1,1,-1,-2,-3,-5,-5,1,no
2,2,-1,-3,-2,0,-13,0,0,yes
3,-9,1,13,5,-2,-5,-4,0,yes
0,4,7,1,0,5,5,-3,1,yes
-3,6,8,1,2,6,6,3,0,no
1,-2,6,-19,3,0,0,-4,2,yes
0,-6,9,0,2,8,-9,2,0,no
2,-6,5,-5,5,-1,-1,4,-1,yes
4,5,5,-4,-4,6,-2,2,0,yes
-1,-2,3,-3,8,0,6,-8,-2,no
-2,5,6,-11,-3,2,3,-1,1,no
1,-8,1,5,-3,-2,6,4,1,yes
0,0,3,-2,-1,7,0,-3,0,no
-2,-8,-7,-4,4,7,3,-2,-1,no
0,-2,8,-2,-3,-2,-9,1,-1,no
2,0,-4,4,1,0,-2,1,-1,yes
2,-5,-4,5,0,4,-6,6,-1,yes
1,2,12,-8,4,7,1,1,2,yes
3,-3,1,-7,-1,8,-8,-6,3,yes
1,4,-8,9,-6,5,-6,-1,0,yes
1,-7,0,7,-3,6,-1,0,0,no
4,8,-2,-4,3,3,1,2,0,yes
-1,-22,3,-6,2,10,0,-13,0,no
-6,-19,-1,2,6,-2,12,-1,3,no
3,26,3,7,2,4,-13,-1,-3,yes
1,-6,11,-4,4,4,1,3,1,yes
2,-4,6,-9,2,-3,1,-1,-1,no
2,2,8,5,3,1,1,-1,2,yes
1,-3,6,2,-1,7,7,-8,-1,yes
1,-2,8,-15,4,8,1,0,-1,yes
-3,12,-16,13,-1,-1,6,3,-2,no
-2,16,-1,-8,1,-2,7,8,-3,no
4,14,-3,8,-8,-6,-12,3,-1,yes
2,0,3,8,1,-5,4,0,1,yes
-3,9,-14,-3,-4,3,3,3,-2,no
-1,-3,-1,-11,-4,-5,-4,1,-3,no
1,2,2,-4,0,0,3,7,-1,yes
1,14,-2,12,-5,7,12,-6,-2,yes
3,7,2,4,-2,7,-9,0,-2,yes
0,6,9,7,0,2,-14,2,1,no
0,7,-2,8,-2,0,7,4,-1,yes
-4,19,-9,17,2,4,1,10,-2,no
0,-9,0,0,0,-2,-8,-5,0,yes
