goal_diff,won,game_ids,goals,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,ice_tilt
0,no,2020020060,0,17,-6,4,-6.700000000000003,-1.0,-2.0,25.799999999999997,-2,-3,3,-1889.0
3,yes,2020020061,3,4,8,-4,66.7,2.0,2.0,26.599999999999994,1,0,-3,-1055.0
-1,no,2020020062,-1,-2,-1,2,8.299999999999997,0.0,-1.0,19.400000000000006,-3,4,3,1476.0
-1,no,2020020063,-1,-12,1,-6,25.0,1.0,3.0,9.0,-2,-3,-10,1499.0
-3,no,2020020064,-3,0,7,8,0.0,0.0,-4.0,-10.200000000000003,-3,12,37,867.0
-4,no,2020020065,-4,-25,13,14,8.9,0.0,-4.0,-1.5999999999999943,-4,7,7,-1848.0
2,yes,2020020066,2,1,4,-2,15.0,1.0,1.0,-7.400000000000006,3,3,1,-558.0
0,no,2020020067,0,5,-1,2,0.0,0.0,-1.0,-20.0,3,4,4,-1167.0
0,no,2020020068,0,-6,0,4,25.0,0.0,-2.0,32.0,3,7,-10,908.0
3,yes,2020020069,3,-3,7,0,40.0,2.0,0.0,-13.799999999999997,0,3,-7,-1594.0
2,yes,2020020070,2,-3,-2,0,100.0,2.0,0.0,12.0,7,9,-8,-539.0
3,yes,2020020071,3,0,12,0,0.0,0.0,0.0,-15.200000000000003,0,1,1,257.0
7,yes,2020020072,7,-6,-1,-6,62.5,5.0,3.0,-12.599999999999994,-4,9,7,-1953.0
3,yes,2020020073,3,-5,-8,-4,8.299999999999997,1.0,2.0,-18.400000000000006,4,2,-2,876.0
-1,no,2020020074,-1,6,10,-2,-25.0,-1.0,1.0,-7.599999999999994,-1,-1,-1,-480.0
5,yes,2020020075,5,9,4,-4,75.0,3.0,2.0,-8.400000000000006,3,-2,2,-983.0
2,yes,2020020076,2,3,-2,0,20.0,1.0,0.0,1.4000000000000057,3,9,5,355.0
3,yes,2020020077,3,-4,1,2,-33.3,-1.0,-1.0,-1.5999999999999943,3,0,0,686.0
2,yes,2020020078,2,7,14,6,30.0,0.0,-3.0,11.799999999999997,0,-3,7,645.0
3,yes,2020020079,3,17,0,-2,66.7,2.0,1.0,5.599999999999994,1,-3,-9,856.0
-3,no,2020020080,-3,-8,6,0,0.0,0.0,0.0,21.400000000000006,4,9,12,-681.0
2,yes,2020020081,2,-4,-3,0,50.0,1.0,0.0,-22.0,6,2,-4,1399.0
0,no,2020020082,0,-17,1,4,6.700000000000003,-1.0,-2.0,-2.799999999999997,1,5,5,-277.0
1,yes,2020020083,1,-7,-1,4,0.0,0.0,-2.0,-1.7999999999999972,2,6,1,1999.0
4,yes,2020020084,4,8,3,6,10.0,-1.0,-3.0,0.0,-2,2,-8,-1141.0
-3,no,2020020085,-3,-4,2,4,-25.0,-1.0,-2.0,0.0,2,-4,17,738.0
-1,no,2020020086,-1,0,7,2,50.0,1.0,-1.0,-1.7999999999999972,-2,6,-5,-460.0
-1,no,2020020087,-1,1,-12,0,0.0,0.0,0.0,-4.0,-2,3,4,1601.0
-2,no,2020020088,-2,-7,7,0,0.0,0.0,0.0,-14.200000000000003,5,2,-3,-355.0
1,yes,2020020089,1,5,-9,0,50.0,2.0,0.0,-1.5999999999999943,0,-2,-6,1079.0
-1,no,2020020090,-1,-11,1,0,0.0,0.0,0.0,-22.799999999999997,2,0,-7,2166.0
2,yes,2020020091,2,-18,7,2,0.0,0.0,-1.0,-9.0,1,1,10,2598.0
6,yes,2020020092,6,-1,3,6,0.0,0.0,-3.0,27.200000000000003,-2,-1,6,-849.0
1,yes,2020020093,1,6,4,6,33.3,1.0,-3.0,39.400000000000006,3,-7,-3,1246.0
1,yes,2020020094,1,-6,-2,-2,50.0,2.0,1.0,39.199999999999996,3,2,-7,-412.0
-2,no,2020020095,-2,-5,-7,8,-40.0,-2.0,-4.0,-3.4000000000000057,2,6,0,506.0
1,yes,2020020096,1,3,-5,-1,50.0,1.0,-1.0,0.0,-2,5,-4,1260.0
-2,no,2020020097,-2,4,0,2,8.299999999999997,0.0,-1.0,12.400000000000006,10,12,-7,240.0
0,no,2020020098,0,-9,2,-6,0.0,0.0,3.0,0.0,-1,2,6,1947.0
1,yes,2020020099,1,19,-7,-4,-50.0,-1.0,2.0,6.400000000000006,-6,3,3,-3047.0
2,yes,2020020100,2,7,-6,-6,-80.0,-1.0,3.0,17.799999999999997,-2,3,3,1706.0
-1,no,2020020101,-1,5,-2,-6,-25.0,0.0,2.0,10.799999999999997,2,1,6,3494.0
-1,no,2020020102,-1,12,-8,0,0.0,0.0,0.0,-1.7999999999999972,5,6,7,1476.0
1,yes,2020020103,1,1,-2,-2,25.0,1.0,1.0,7.599999999999994,0,-1,4,843.0
4,yes,2020020104,4,12,-8,10,20.0,1.0,0.0,-5.799999999999997,-2,-2,-2,1698.0
-1,no,2020020105,-1,7,-4,-4,0.0,0.0,2.0,-9.0,1,3,0,-1674.0
0,no,2020020106,0,21,-2,-2,-3.3000000000000007,0.0,1.0,-6.0,-1,4,-10,3040.0
0,no,2020020107,0,12,4,0,0.0,0.0,0.0,19.0,7,0,8,-2894.0
4,yes,2020020108,4,-8,-2,2,8.299999999999997,0.0,-1.0,0.0,-2,5,-9,-231.0
3,yes,2020020109,3,3,0,2,50.0,1.0,-1.0,25.599999999999994,3,-4,-6,1505.0
-1,no,2020020110,-1,-14,2,-2,25.0,1.0,1.0,5.200000000000003,-1,9,0,2089.0
-2,no,2020020111,-2,17,-7,-4,0.0,0.0,2.0,-47.199999999999996,-1,1,0,-1742.0
3,yes,2020020112,3,-7,5,-10,33.400000000000006,1.0,0.0,-10.799999999999997,1,-4,-4,-1357.0
