Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
3,24,10,17,5,9,21,5,3,no
4,19,12,26,5,7,21,7,3,yes
0,18,7,23,3,1,11,4,4,no
5,26,8,25,3,1,15,5,2,yes
4,20,19,23,6,12,23,11,5,no
3,20,15,30,3,8,11,13,4,yes
4,27,11,23,3,6,17,8,3,yes
3,23,16,25,4,8,15,5,1,no
3,24,16,21,3,2,19,8,4,yes
1,21,11,25,5,7,20,3,2,no
5,20,9,24,5,5,18,7,2,yes
3,19,7,22,3,7,14,7,2,no
1,31,6,24,3,5,12,9,4,no
1,14,11,17,9,19,23,15,4,no
4,25,20,27,4,5,24,11,4,yes
0,22,8,21,6,4,21,4,8,no
1,18,16,22,1,4,25,2,4,no
2,44,4,29,13,5,17,12,2,yes
1,33,7,31,3,8,26,11,3,yes
0,12,12,18,2,13,17,10,2,no
1,27,12,29,8,1,17,6,1,no
2,27,20,27,1,4,15,11,2,yes
3,18,17,20,4,8,17,7,5,no
3,22,10,25,7,9,16,5,4,yes
2,31,10,28,10,8,16,13,4,no
4,34,27,20,7,9,32,8,5,yes
2,23,18,23,1,7,16,12,4,no
1,24,10,27,5,11,19,12,3,no
2,17,11,26,7,1,29,8,1,no
3,19,18,20,6,8,26,5,1,yes
3,19,7,18,1,2,18,10,4,yes
3,22,7,31,3,7,15,10,5,no
2,17,7,21,1,3,22,4,4,yes
1,28,7,24,3,6,13,9,0,no
2,27,10,22,5,3,26,12,5,no
3,12,5,18,4,6,19,4,5,yes
2,28,6,20,1,2,6,7,3,no
3,29,7,20,3,3,12,11,3,yes
4,23,9,27,9,10,29,4,5,no
4,31,13,25,10,9,16,6,3,yes
3,20,7,29,3,4,10,9,4,no
5,15,17,21,6,9,29,8,5,yes
0,15,7,30,8,5,20,5,5,no
5,26,10,24,14,2,19,3,5,yes
1,21,8,32,5,5,12,11,4,no
1,18,7,17,6,11,20,9,4,yes
0,20,17,26,8,8,28,5,5,no
4,24,5,21,13,10,17,11,4,yes
2,24,6,25,1,4,21,10,1,no
2,16,11,27,4,8,12,10,3,yes
2,32,16,20,2,4,8,9,2,no
2,23,10,25,3,5,12,9,2,yes
3,36,2,31,3,4,14,11,4,yes
1,13,16,19,6,11,27,9,3,no
0,29,9,31,6,8,10,7,5,no
2,23,14,21,7,5,15,16,4,yes
5,26,20,18,2,10,29,8,3,yes
0,31,11,28,4,15,28,10,1,no
2,26,8,13,6,5,21,12,5,no
5,19,13,27,6,9,17,18,4,yes
1,19,15,20,3,3,20,7,1,no
0,27,18,20,2,2,25,14,2,yes
2,30,8,33,0,2,15,13,6,yes
3,23,11,21,1,10,16,9,6,no
1,17,15,17,3,0,26,6,4,no
3,10,8,25,5,4,21,11,2,yes
2,21,7,20,6,11,22,6,3,no
4,24,10,30,10,21,23,3,3,yes
3,15,5,26,3,6,37,3,5,no
3,21,8,31,5,4,31,8,4,no
0,19,11,23,2,5,19,13,5,no
0,13,16,22,7,8,29,9,4,yes
4,25,16,28,1,5,28,7,1,yes
0,21,8,25,2,9,20,12,1,no
3,24,7,21,2,3,11,6,1,yes
1,25,12,29,3,10,11,6,2,no
4,16,6,29,2,4,7,7,3,no
4,24,3,27,3,1,11,7,3,yes
2,15,8,10,2,6,10,7,4,yes
1,25,16,22,0,5,13,10,4,no
1,21,10,14,5,13,27,9,2,no
2,32,6,27,9,9,24,14,4,yes
1,20,10,20,5,6,11,9,6,no
4,25,8,20,5,14,9,11,3,yes
2,27,8,20,2,3,29,6,6,yes
0,22,10,27,2,6,14,9,4,no
2,25,10,34,6,4,21,7,4,no
3,17,15,24,3,5,18,14,4,yes
0,30,4,23,4,2,17,16,2,no
1,22,11,28,3,4,25,7,6,yes
4,24,14,26,6,8,15,7,4,yes
3,33,10,22,5,18,22,10,2,no
0,31,6,26,3,4,17,8,2,no
1,22,13,26,6,10,30,11,3,yes
5,21,9,33,4,1,18,4,4,yes
2,22,13,23,2,2,24,10,1,no
4,27,9,32,5,11,23,10,4,no
4,18,10,22,7,13,23,9,3,yes
4,19,14,22,1,2,40,3,3,no
4,18,14,30,2,4,31,7,2,yes
2,20,15,13,2,9,11,11,1,no
2,17,8,21,3,10,9,9,2,yes
3,21,8,26,3,4,14,13,4,yes
2,28,10,25,3,8,12,11,3,no
2,17,8,22,4,10,23,8,5,yes
3,34,15,29,10,7,20,14,5,no
3,20,11,24,1,4,9,6,2,yes
1,20,7,22,2,11,15,7,6,no
1,28,6,18,2,1,9,6,4,no
1,22,8,22,1,0,11,11,6,no
2,16,16,18,4,6,24,7,2,yes
1,23,6,28,2,6,19,5,3,no
3,20,14,27,3,3,35,12,6,no
4,21,12,21,3,3,25,13,1,no
2,17,10,25,7,4,21,8,6,no
5,20,12,24,5,4,21,9,3,yes
3,29,12,22,3,12,18,9,2,yes
2,19,14,34,6,11,17,16,3,no
3,14,9,20,7,8,16,11,2,no
2,29,8,27,7,4,21,10,4,no
1,24,11,20,0,11,19,4,3,no
4,27,18,34,1,11,18,7,1,yes
2,25,9,21,10,9,13,9,2,yes
2,27,7,31,4,14,18,19,4,no
2,28,7,19,8,8,22,10,3,yes
2,17,13,25,6,6,18,13,1,no
4,24,9,24,4,4,14,15,3,yes
0,23,17,19,2,15,44,5,7,no
6,28,4,27,6,2,17,6,6,yes
3,11,16,26,3,9,21,10,6,no
2,21,13,25,0,4,13,13,5,no
2,19,17,21,3,5,14,9,4,yes
3,20,10,31,2,2,16,14,1,no
3,22,9,23,5,4,22,7,3,no
3,24,8,15,6,3,36,8,2,no
2,18,8,28,6,8,23,7,4,no
0,23,8,24,7,11,25,4,4,no
3,20,15,16,7,14,23,5,4,yes
2,21,16,18,2,6,33,8,1,no
2,20,9,21,8,14,21,8,2,yes
1,22,10,27,3,0,7,9,4,no
2,21,20,21,3,3,8,13,4,yes
0,30,12,34,6,5,9,14,6,no
6,20,12,25,2,12,21,8,5,yes
1,25,20,25,3,5,22,11,4,no
4,19,13,19,5,7,21,6,3,yes
2,23,8,33,7,10,16,9,5,yes
2,31,16,25,6,6,17,8,4,no
1,14,9,28,4,5,16,9,3,no
5,15,13,24,8,4,24,11,2,yes
2,15,13,30,1,3,19,10,4,no
4,22,8,30,5,15,24,13,4,yes
2,28,7,29,2,3,21,7,2,no
4,19,8,24,5,4,21,11,2,yes
2,20,3,24,0,4,7,16,1,no
3,21,15,24,1,1,17,2,4,yes
3,15,9,22,5,8,28,7,2,no
3,24,12,21,6,5,18,7,3,yes
3,22,11,22,4,2,19,10,5,yes
2,15,16,30,7,8,29,10,5,no
0,21,9,31,5,3,15,10,2,no
2,22,5,21,9,7,8,12,1,yes
3,36,12,29,2,1,10,9,3,no
3,20,15,29,2,5,15,6,5,no
2,19,12,26,7,4,28,8,0,no
2,15,12,24,8,9,27,10,2,yes
1,20,9,17,10,9,26,7,2,no
4,26,14,17,8,8,24,5,3,yes
5,25,7,24,4,12,15,14,3,yes
3,25,13,28,6,13,30,5,5,no
2,29,10,20,4,4,20,9,1,yes
1,29,15,22,2,8,13,11,2,no
3,26,15,19,7,9,5,9,3,yes
2,22,2,22,6,12,10,13,3,no
3,27,7,30,3,1,15,11,4,yes
3,20,15,25,7,4,12,12,4,no
2,9,24,27,1,6,23,9,4,no
3,16,15,24,3,5,17,17,3,yes
0,22,13,21,2,5,31,19,2,yes
0,16,14,14,4,5,18,8,2,no
0,31,15,21,4,7,19,13,2,no
2,12,19,17,6,8,27,9,4,yes
1,30,11,20,6,9,18,13,1,no
4,20,11,31,3,7,25,9,4,yes
1,25,4,17,5,12,20,11,3,no
2,26,7,33,6,6,19,9,6,yes
