Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
1,-4,1,9,1,-2,-1,2,0,yes
5,8,3,1,1,0,3,1,-2,yes
-1,2,-4,6,-3,-4,-12,1,-1,yes
-2,-4,6,0,-1,2,-2,-4,-2,no
-2,-3,-7,4,2,5,0,-5,-2,no
-2,-2,0,-2,-1,2,-4,0,0,no
-1,-17,5,-8,5,14,10,6,0,no
-4,3,-11,-5,3,-1,-3,-7,4,no
1,25,-10,7,11,2,-7,9,-2,yes
-1,-21,5,-11,-1,5,-10,-1,-1,no
1,-1,6,-1,-7,3,-3,5,1,yes
0,2,-5,3,3,2,-2,-2,-1,yes
2,1,15,-6,-3,0,15,-5,1,yes
-1,-1,-8,2,4,4,4,0,-1,no
1,4,8,-7,-1,7,-1,-2,0,yes
1,4,-1,13,2,5,-2,1,1,no
-1,10,0,2,2,2,-9,4,-4,no
1,-13,-6,-3,-1,3,-8,-7,-1,yes
1,0,1,1,2,1,6,3,1,yes
0,8,3,-3,1,-1,-13,2,-2,yes
2,-4,9,-8,4,5,17,-1,1,yes
5,13,3,-5,6,-3,-1,1,-1,yes
0,-3,-1,-17,1,6,8,-1,0,yes
4,2,-11,-6,6,3,-12,5,-1,yes
1,-7,6,4,3,4,-7,0,2,yes
0,-8,-7,6,1,1,4,1,0,yes
-2,-22,14,-10,3,7,13,-1,-1,no
2,-7,5,-9,1,-3,4,7,0,yes
-4,5,-9,9,2,5,0,0,-2,no
3,-6,6,12,0,4,-2,5,0,yes
-1,8,5,-1,-1,-1,5,6,2,yes
1,-5,4,-13,1,7,1,-5,1,no
2,-6,-7,6,2,4,-5,5,-2,yes
2,3,3,9,4,7,0,-3,0,yes
0,4,3,4,1,-2,-6,5,-2,no
0,-7,4,1,5,3,10,-5,-1,yes
-4,-3,-8,1,0,4,-6,5,0,no
-2,1,5,9,1,7,-1,0,1,no
0,7,-4,-2,1,-3,3,0,0,yes
-1,9,8,10,-2,-1,3,2,0,no
1,11,-4,13,4,-5,-3,5,2,yes
3,4,-2,0,-1,7,0,1,-3,yes
-2,-2,2,4,0,3,-13,3,-3,no
0,-8,6,-12,-3,1,-3,7,0,yes
1,-6,7,3,-1,2,8,-9,4,yes
-1,13,-5,-5,-1,12,7,4,-2,no
1,-8,4,2,3,6,13,4,1,yes
-4,1,5,-11,-3,1,6,6,-3,no
0,-8,-2,-7,2,2,1,-1,-1,yes
0,-2,1,8,1,2,-7,3,-1,yes
0,-1,-7,8,1,0,-3,-2,1,yes
-2,5,1,0,0,4,-2,-2,-1,no
1,16,7,5,6,-3,-3,6,0,no
-2,-1,-4,-2,1,7,4,0,4,no
0,0,-1,5,-1,-1,1,6,1,no
0,5,-8,10,-2,0,-3,-2,1,no
1,0,-3,-5,0,0,-10,1,-5,no
3,1,3,-2,-2,0,1,-1,-2,yes
-1,-9,1,12,3,-1,0,6,1,no
-1,12,-1,5,0,-4,5,-1,2,no
3,6,6,13,1,0,-1,1,-2,yes
0,2,-2,9,-6,5,5,10,2,no
0,-10,6,6,-1,-1,-4,3,-2,no
-4,-2,9,-7,-2,11,28,-10,4,no
-3,-15,12,-1,-1,7,4,4,0,no
0,-2,5,-4,2,1,1,-2,-1,yes
0,2,0,-9,2,2,6,-8,2,no
-1,-5,-1,12,0,4,-14,-2,2,no
3,-3,6,-7,2,4,-1,-1,0,yes
0,-1,-5,4,6,9,-10,-1,1,yes
1,-1,9,-6,1,3,2,4,0,yes
6,-8,-3,-7,-5,7,12,-3,-2,yes
3,-6,-8,-6,2,2,-1,-5,-1,yes
0,10,8,-9,-1,-4,0,-1,-1,no
4,1,4,-7,4,-1,8,2,-2,yes
3,6,-5,0,4,12,3,3,0,yes
2,-7,2,-6,2,1,1,4,0,yes
1,1,12,1,1,-3,11,-15,3,yes
0,7,3,0,1,-3,-10,-2,1,yes
0,-6,4,6,3,6,10,0,-1,no
2,1,-4,-8,4,4,-7,3,-1,yes
-1,-18,3,2,0,4,6,-3,2,no
0,-3,-1,-3,1,5,-2,3,2,yes
3,6,4,0,-3,-1,-4,-2,1,yes
-2,1,4,4,2,-2,16,-7,2,no
-1,-2,6,3,-2,4,-6,2,1,no
-1,-3,-11,2,0,3,6,4,0,no
0,-5,7,-5,4,3,-3,3,0,no
2,7,-10,-2,2,-1,-3,8,-1,yes
0,-6,-1,-4,0,0,-13,-8,0,no
2,-17,4,-4,2,1,7,-2,1,yes
3,-10,0,11,-3,-2,7,-3,3,yes
2,1,3,14,1,-5,-2,0,3,yes
1,5,-5,17,1,2,-2,10,-3,yes
-1,-2,-4,-4,1,7,-1,1,3,no
0,-1,-5,0,-1,6,-2,6,2,yes
0,-1,4,4,8,10,-4,-3,1,no
1,-9,1,1,0,0,7,-14,0,no
-1,14,-4,2,-5,2,5,5,0,yes
2,8,-9,7,-2,2,1,0,-2,yes
-2,14,-2,12,0,-6,4,18,0,no
-1,4,-4,0,5,3,7,-2,-1,no
0,5,-5,0,0,1,1,-1,-2,yes
5,16,-9,-3,-2,0,-2,2,-4,yes
-1,10,-1,0,1,2,-2,11,-2,no
-2,15,-1,-2,-1,4,-3,9,1,no
1,11,3,9,5,2,9,1,1,no
3,-8,0,-1,-2,3,-8,7,0,yes
3,4,-4,16,0,-2,-9,-7,1,yes
0,-12,0,3,0,6,-2,-7,-2,no
-2,11,-8,-17,-2,-1,2,-4,-2,no
2,-3,3,-1,3,-4,-4,8,0,yes
0,0,-1,1,5,6,0,3,-1,yes
1,1,6,-9,-5,0,7,3,-2,no
4,0,-3,4,-4,7,-9,-6,-1,yes
-1,2,0,4,4,2,-4,0,-3,no
3,-13,5,0,0,1,-11,7,-2,yes
3,-1,5,-7,2,-1,-1,-2,2,yes
2,5,7,4,6,5,5,2,4,yes
0,11,-5,4,-1,3,-2,8,0,yes
1,14,-6,3,2,0,11,13,-2,yes
1,9,1,-1,11,-2,3,11,1,yes
-1,9,-5,6,0,5,-7,5,-1,no
0,-2,1,8,6,-5,-1,-4,2,no
1,8,1,-5,0,3,-1,3,-1,no
0,-11,2,6,-1,-1,-12,-4,3,yes
1,-17,9,-2,1,1,15,-4,2,yes
4,11,-4,4,1,-6,-7,6,-1,yes
2,5,-3,7,3,2,4,6,-1,yes
0,0,-1,10,1,1,-5,3,-1,no
-1,9,-12,2,-2,-1,-5,12,0,no
-2,-6,2,-3,3,6,-5,11,2,no
0,3,-7,7,1,1,0,4,-1,yes
-2,-9,13,7,1,-1,14,-5,2,no
-5,-3,0,-2,0,3,3,0,0,no
0,2,-1,10,-1,8,5,3,-1,no
0,-7,-4,4,1,-7,-4,5,2,yes
0,8,-2,7,3,2,-15,0,0,no
-1,2,-1,0,-1,-3,-3,-5,1,no
