Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
3,24,10,17,5,9,21,5,3,no
4,19,12,27,6,7,23,7,3,yes
0,20,7,25,3,1,12,4,4,no
5,27,8,27,3,1,15,5,2,yes
4,22,21,24,6,12,25,11,5,no
4,23,15,30,3,8,11,13,4,yes
4,27,11,23,3,6,17,9,3,yes
3,24,17,25,4,9,16,5,1,no
3,24,16,23,3,2,20,8,4,yes
1,22,11,27,5,7,21,3,2,no
5,20,9,26,5,6,18,7,3,yes
3,21,7,24,3,7,14,7,2,no
1,31,6,26,3,5,12,9,5,no
1,15,11,19,9,19,24,15,5,no
4,25,20,28,4,5,24,11,4,yes
0,24,8,21,6,4,22,4,8,no
1,20,16,22,1,4,27,3,4,no
2,46,4,29,13,5,20,12,2,yes
1,34,8,32,3,8,26,11,3,yes
0,12,12,18,2,13,19,10,2,no
1,27,12,30,8,1,18,6,1,no
2,29,20,27,1,4,16,12,2,yes
3,21,17,21,4,8,18,7,5,no
3,23,11,27,7,10,17,5,4,yes
2,32,10,29,10,9,17,14,4,no
5,35,29,22,8,9,32,8,5,yes
3,23,19,24,1,8,17,12,4,no
1,24,10,27,5,11,19,12,3,no
2,18,11,26,7,1,29,8,1,no
4,19,19,22,7,9,27,5,1,yes
3,21,7,20,1,2,19,10,4,yes
3,23,7,33,3,7,15,10,5,no
2,19,7,21,1,3,23,5,4,yes
1,28,8,25,3,6,14,9,0,no
2,28,11,22,5,3,28,13,6,no
3,15,5,21,4,7,19,5,5,yes
2,29,6,20,1,2,6,7,3,no
3,30,7,20,3,3,12,11,3,yes
4,24,9,27,9,10,30,4,5,no
4,31,13,25,10,9,18,6,3,yes
3,20,8,29,3,5,11,9,4,no
5,16,17,23,6,9,29,9,5,yes
0,15,7,31,8,5,20,5,6,no
6,27,10,25,14,2,19,4,5,yes
1,22,8,32,5,5,12,11,4,no
1,19,7,18,6,11,20,10,4,yes
0,22,17,26,8,8,28,5,5,no
4,24,5,23,13,12,19,11,4,yes
2,24,6,26,1,4,21,10,1,no
2,16,13,28,5,8,12,10,4,yes
2,34,16,20,2,4,8,9,2,no
3,25,10,27,3,6,13,9,2,yes
3,36,2,32,4,5,14,11,4,yes
2,15,17,19,6,11,27,10,3,no
0,29,11,33,6,9,10,7,5,no
2,25,14,21,7,5,16,16,4,yes
5,26,20,18,2,12,29,9,3,yes
0,33,11,28,4,16,28,10,1,no
2,27,8,15,7,5,21,12,5,no
5,20,13,27,6,9,18,18,5,yes
1,19,15,21,3,3,20,7,1,no
0,27,18,20,3,2,25,15,2,yes
2,32,8,33,0,3,15,13,6,yes
3,24,11,22,1,12,17,9,6,no
2,17,15,19,3,0,28,6,4,no
4,13,9,27,5,4,22,12,2,yes
2,24,7,22,6,11,22,6,3,no
4,24,12,30,10,21,25,3,3,yes
3,16,5,26,3,6,38,3,5,no
3,21,8,31,5,4,31,8,4,no
0,21,11,23,2,5,20,13,5,no
0,13,17,23,7,9,29,9,4,yes
5,25,16,30,1,5,28,7,1,yes
0,21,9,25,2,10,21,14,1,no
3,25,8,22,2,3,11,6,1,yes
1,28,13,30,4,10,11,6,2,no
4,17,7,30,3,4,7,8,3,no
5,24,3,28,4,1,11,7,3,yes
3,15,8,10,2,6,10,7,4,yes
1,25,16,24,1,5,13,10,4,no
1,23,10,15,5,13,27,9,2,no
2,33,6,29,9,11,24,15,4,yes
1,21,11,20,5,7,13,9,6,no
4,26,8,21,5,15,10,11,3,yes
2,29,8,22,2,3,29,6,6,yes
0,22,12,27,2,6,14,9,4,no
2,26,10,35,6,4,22,7,4,no
3,18,15,26,4,5,20,14,4,yes
0,30,5,23,4,2,18,16,2,no
1,24,12,28,3,4,26,7,6,yes
4,24,14,27,6,9,18,7,5,yes
3,36,10,24,5,18,22,12,2,no
0,34,6,27,3,4,18,8,2,no
1,25,13,28,7,10,30,11,3,yes
5,21,9,33,4,1,19,4,4,yes
2,23,13,23,2,2,24,10,1,no
4,29,10,33,5,12,23,10,4,no
4,20,11,23,8,14,23,10,3,yes
4,19,14,22,1,3,43,4,3,no
4,18,14,30,2,4,32,7,2,yes
2,21,16,13,2,9,13,11,1,no
2,17,8,22,3,10,9,9,2,yes
3,21,8,27,3,5,17,13,4,yes
2,31,10,27,3,8,12,11,3,no
2,17,8,22,4,10,23,8,5,yes
3,34,15,29,10,7,22,14,5,no
3,20,12,25,1,4,10,6,2,yes
1,20,9,22,2,11,15,7,6,no
1,29,6,18,2,1,9,6,4,no
1,22,10,23,1,0,12,11,7,no
2,17,16,18,4,6,25,7,2,yes
1,23,6,28,2,6,19,7,3,no
4,20,14,28,3,3,35,13,6,no
4,22,12,22,3,4,27,13,1,no
2,17,10,25,7,5,22,8,6,no
5,21,13,25,5,4,22,9,3,yes
3,29,12,25,3,12,18,10,2,yes
2,20,16,34,6,11,17,16,4,no
3,15,11,21,8,8,17,11,2,no
2,29,8,28,7,5,22,10,4,no
1,24,11,20,0,11,20,6,3,no
4,27,21,34,1,11,18,8,1,yes
2,27,9,22,10,9,13,9,2,yes
2,27,8,34,5,14,18,19,4,no
2,28,8,20,8,8,25,11,4,yes
2,17,13,25,6,6,18,13,2,no
4,24,9,25,4,4,14,15,4,yes
0,24,17,20,2,15,44,5,7,no
6,28,5,30,7,2,17,6,6,yes
3,13,17,27,3,9,22,10,6,no
2,21,13,25,0,4,13,14,5,no
2,19,18,21,3,5,14,9,4,yes
3,21,10,31,2,2,16,14,1,no
3,23,9,23,5,4,22,7,3,no
3,25,9,15,6,3,37,8,2,no
3,19,8,30,7,8,25,8,4,no
0,23,9,24,8,12,26,4,4,no
3,20,16,16,7,14,23,5,4,yes
2,21,16,19,2,7,33,8,2,no
3,24,9,22,9,14,21,8,2,yes
1,23,10,28,3,1,7,9,4,no
2,23,21,23,3,3,8,13,4,yes
0,34,12,36,6,5,9,16,6,no
6,20,13,28,2,13,21,8,5,yes
2,27,20,26,4,5,23,14,4,no
4,19,13,19,5,7,21,6,3,yes
2,24,10,33,7,10,16,9,5,yes
2,31,16,27,6,6,17,8,5,no
1,14,9,28,5,5,18,10,3,no
5,15,14,24,8,4,25,11,2,yes
2,15,14,30,3,3,20,10,5,no
4,22,9,31,6,16,24,13,4,yes
2,28,7,30,2,3,23,7,2,no
4,19,8,25,5,4,22,11,2,yes
2,20,3,26,0,4,7,16,2,no
3,23,15,26,1,1,17,3,4,yes
3,15,10,23,5,9,28,7,3,no
3,25,12,21,6,5,18,8,3,yes
3,23,11,22,4,2,19,10,5,yes
2,19,16,30,7,9,29,10,5,no
0,24,9,31,5,3,15,10,2,no
2,22,5,22,9,7,8,12,1,yes
3,36,12,30,2,1,11,10,3,no
3,22,16,30,2,5,15,6,6,no
2,22,12,27,7,4,29,10,0,no
2,15,12,24,9,9,27,10,2,yes
2,21,9,18,10,9,27,7,2,no
4,28,14,18,8,9,24,5,4,yes
5,25,8,25,4,13,16,14,3,yes
3,25,13,29,6,13,31,5,5,no
2,30,11,21,4,5,20,10,1,yes
1,32,15,25,2,9,13,13,2,no
3,27,15,21,8,9,7,9,3,yes
2,22,2,22,6,12,12,13,3,no
3,29,7,34,3,1,15,11,5,yes
3,21,16,25,7,4,12,13,5,no
2,10,25,29,2,6,23,9,4,no
3,17,15,25,3,5,17,17,4,yes
0,24,14,21,2,5,31,20,2,yes
0,16,14,14,4,5,22,8,2,no
0,31,15,21,4,8,19,14,2,no
2,12,20,17,6,8,28,9,4,yes
1,30,11,21,6,9,18,14,2,no
4,25,11,35,3,7,25,11,5,yes
1,25,4,19,5,12,24,11,3,no
2,27,7,34,6,6,20,9,6,yes
2,18,8,14,4,1,20,6,4,no
3,21,4,34,7,3,16,15,2,yes
3,22,9,29,8,6,9,9,1,yes
2,21,3,24,9,11,8,10,4,no
2,30,17,22,2,3,17,8,2,no
2,29,14,20,0,8,14,14,3,yes
3,26,10,25,3,8,26,18,3,yes
2,24,14,31,11,19,20,15,4,no
2,19,8,22,2,6,13,18,4,no
3,11,9,22,2,7,20,3,3,no
2,15,15,26,9,6,7,7,4,no
2,34,9,30,4,9,12,13,2,yes
3,21,11,21,8,5,17,6,5,no
5,26,4,29,5,8,18,6,2,yes
6,28,16,42,16,18,22,16,6,yes
6,42,16,56,18,14,26,32,4,no
2,17,12,23,4,7,7,9,3,yes
1,23,9,23,9,10,14,6,2,no
1,14,14,22,6,7,18,8,4,no
1,19,9,23,6,8,21,8,2,yes
2,19,13,33,8,5,13,5,5,no
7,32,5,29,5,3,12,8,2,yes
1,20,12,23,4,3,21,4,3,yes
0,28,11,23,5,5,20,18,1,no
4,14,12,30,6,4,23,8,7,no
3,35,11,28,5,7,18,19,6,no
1,19,12,11,3,6,8,7,4,no
1,31,15,21,10,7,16,11,4,no
1,36,12,27,4,4,23,8,3,no
5,29,10,27,2,8,16,15,3,yes
1,12,9,12,8,12,25,14,2,no
4,16,8,25,9,9,17,4,3,yes
2,34,10,23,4,3,13,11,5,yes
2,18,12,27,3,10,11,2,4,no
3,14,15,30,6,6,13,10,4,yes
1,27,7,12,5,5,14,8,2,no
3,21,12,23,3,5,16,6,2,no
5,17,14,21,4,1,12,13,2,yes
0,29,13,25,7,9,24,13,4,no
0,32,12,22,12,15,21,14,3,yes
1,27,6,27,9,6,15,11,5,no
2,26,13,18,4,6,22,14,3,no
0,20,15,23,4,8,23,9,4,no
4,17,14,24,0,15,14,3,4,yes
3,18,10,21,3,20,22,11,6,yes
3,22,10,23,7,20,16,12,3,no
1,31,9,18,6,5,30,10,5,no
4,18,18,19,6,6,18,14,5,yes
3,27,7,25,4,5,8,10,6,no
5,22,17,19,5,4,8,8,8,yes
2,15,7,22,1,8,8,7,2,no
4,18,18,25,8,14,12,7,7,yes
0,19,16,23,4,1,14,13,3,no
2,32,13,28,3,4,12,20,3,yes
2,13,15,22,3,10,17,6,3,no
2,28,12,26,5,11,26,21,2,yes
1,14,14,25,8,4,20,6,1,no
3,24,15,26,19,2,23,16,2,yes
2,22,15,17,1,5,19,4,3,yes
1,25,11,23,2,11,13,9,2,no
2,26,10,21,4,7,16,10,4,no
3,23,10,30,11,1,16,6,5,no
4,27,8,28,4,11,20,7,5,yes
4,28,10,21,4,15,20,10,4,no
2,23,11,16,4,9,29,13,1,no
2,10,13,19,4,9,17,10,4,yes
2,36,10,24,7,8,14,15,1,no
3,17,22,20,10,9,33,10,3,yes
1,9,12,28,1,10,34,9,5,no
4,19,10,32,2,5,24,16,5,yes
2,20,10,19,0,0,16,2,8,no
4,25,7,30,3,2,18,9,7,yes
2,21,7,22,3,9,17,10,4,yes
2,21,8,29,5,9,13,13,3,no
1,27,19,27,5,12,22,4,7,yes
0,33,8,28,3,13,17,15,8,no
3,29,10,29,5,6,13,7,3,yes
1,20,12,24,8,14,8,17,5,no
3,22,16,22,6,8,17,6,3,no
3,24,10,31,7,9,18,11,2,yes
3,26,4,24,5,3,5,10,2,yes
1,17,18,29,6,2,20,9,4,no
6,23,9,21,5,14,22,9,4,yes
1,20,9,20,4,16,25,10,3,no
4,27,7,22,8,2,8,13,4,yes
3,30,7,30,7,10,12,15,3,no
3,25,10,21,1,10,17,10,3,no
3,17,6,26,3,5,13,15,6,yes
3,20,10,24,6,4,26,9,4,no
2,30,7,30,10,5,13,8,4,no
3,26,7,25,2,4,13,13,4,yes
1,28,9,24,1,2,10,8,5,no
1,30,13,20,9,10,35,5,3,no
2,30,12,19,5,9,25,5,2,yes
5,29,11,23,1,8,18,13,5,no
8,21,11,35,6,6,14,9,4,yes
3,22,3,27,2,0,5,13,2,no
2,24,14,26,2,4,13,9,4,yes
4,15,12,25,3,10,23,8,2,yes
1,19,22,23,5,15,28,11,2,no
1,21,11,29,4,7,22,12,5,no
2,21,16,12,7,7,20,9,6,yes
2,22,8,23,7,1,25,9,5,yes
3,20,16,23,8,10,16,13,5,no
2,26,10,25,0,2,18,7,4,no
4,20,15,18,5,1,16,9,3,yes
2,24,8,28,7,10,25,8,3,no
6,27,13,23,3,15,22,5,3,yes
2,19,5,17,2,9,10,14,4,no
2,18,11,13,10,9,16,7,2,no
3,17,8,32,10,3,23,8,5,yes
1,20,14,20,7,6,24,8,6,no
2,25,7,20,6,6,13,10,1,no
2,18,10,24,3,4,19,15,3,yes
1,30,8,24,5,3,21,9,2,yes
1,27,11,23,6,10,20,6,2,no
5,24,13,25,4,4,7,10,3,yes
3,16,7,22,8,8,12,8,2,no
3,23,12,25,8,8,31,4,2,no
2,26,19,26,4,8,20,5,1,no
2,24,16,24,0,2,15,5,4,no
4,24,15,27,1,3,12,7,3,yes
2,31,10,29,5,10,25,5,4,no
4,24,9,27,5,15,17,9,3,yes
2,17,10,26,4,7,15,10,2,no
3,24,19,19,6,10,15,11,3,yes
1,21,17,32,8,11,28,13,2,no
4,19,20,23,6,19,20,5,5,yes
1,24,20,23,10,3,18,9,4,no
2,28,13,33,5,7,13,9,4,yes
1,28,11,18,10,3,23,12,1,yes
3,21,13,25,7,9,24,10,2,no
1,14,10,25,0,1,14,7,4,no
5,21,9,19,2,4,16,9,4,yes
2,37,7,27,2,2,19,15,2,yes
1,17,10,21,3,12,19,3,2,no
5,36,10,20,7,7,12,11,0,yes
0,15,12,22,14,5,25,9,4,no
2,12,7,19,1,4,24,10,4,no
4,35,10,22,3,10,13,9,1,yes
2,30,6,27,7,6,17,6,4,no
3,23,16,25,11,10,17,10,5,yes
3,30,7,31,5,9,17,11,4,yes
5,26,13,22,7,5,16,11,3,no
3,22,8,25,5,2,21,6,2,no
7,21,17,29,8,3,20,5,4,yes
3,23,6,25,3,3,13,16,2,no
4,18,11,23,2,9,20,8,2,yes
4,25,16,36,3,5,19,10,5,no
4,22,23,22,8,13,17,10,3,yes
3,26,21,16,2,1,16,8,4,yes
0,37,6,27,1,0,21,10,2,no
3,16,12,26,4,15,33,11,5,yes
1,31,11,22,4,13,38,19,3,no
3,14,7,23,9,12,26,6,4,no
7,29,5,29,2,6,14,8,3,yes
1,19,8,16,3,20,13,8,2,no
3,21,11,22,4,14,16,10,3,yes
4,18,19,28,6,2,10,11,4,yes
2,27,4,26,3,5,13,12,2,no
0,17,13,30,7,10,23,11,7,yes
1,16,14,16,3,5,21,13,4,no
1,24,4,22,0,3,20,5,3,no
2,28,6,17,0,3,20,12,2,yes
1,18,17,22,4,3,22,14,3,no
2,33,13,32,1,11,33,8,1,yes
1,23,13,21,6,1,26,5,4,no
5,27,16,26,6,5,19,6,1,yes
4,21,11,19,2,10,30,10,2,no
4,24,20,24,3,12,15,14,3,no
2,24,9,17,6,4,14,8,4,no
2,29,8,24,5,8,21,11,3,yes
4,12,12,16,9,12,16,9,5,yes
1,30,3,33,10,16,17,18,2,no
3,26,10,20,3,8,27,16,1,no
3,19,10,20,2,7,17,12,1,yes
4,24,12,20,9,16,16,12,3,yes
2,28,16,35,5,16,30,9,2,no
2,28,17,20,3,8,22,8,4,yes
1,32,9,32,2,15,24,15,2,no
0,22,9,24,6,8,24,7,4,no
5,25,8,21,10,21,16,14,2,yes
4,23,8,29,3,9,11,9,3,no
6,20,16,31,6,10,20,8,5,yes
0,24,5,22,2,4,8,10,6,no
2,21,13,21,9,8,7,4,5,yes
1,22,15,22,6,12,26,8,5,no
1,28,4,28,4,12,29,10,3,no
5,13,5,21,7,8,8,19,1,yes
4,29,12,18,7,8,18,12,3,no
3,31,9,23,8,2,23,6,1,yes
1,31,6,25,11,6,24,6,1,no
6,19,7,31,9,3,19,10,4,yes
4,13,10,23,2,11,23,6,3,no
1,26,3,20,7,19,32,15,2,no
4,14,16,24,10,17,28,6,3,yes
2,24,14,18,1,2,15,7,3,no
5,14,11,25,5,5,17,7,3,yes
1,28,12,25,2,6,12,8,4,yes
1,28,6,25,5,15,12,10,4,no
3,26,13,29,3,3,24,14,2,no
4,25,8,23,2,5,20,8,3,yes
2,17,15,22,10,12,25,8,3,no
2,26,14,29,8,8,21,13,5,no
1,25,10,16,6,6,22,9,2,yes
0,25,16,25,11,10,23,4,0,no
2,19,10,35,6,3,18,14,2,no
2,17,17,26,6,9,18,6,1,yes
2,28,15,28,5,7,8,9,6,yes
1,19,15,20,4,7,13,7,5,no
2,29,12,25,4,12,20,15,4,yes
1,25,11,24,4,10,16,6,6,no
1,30,7,23,7,6,29,9,2,no
3,15,6,23,5,10,21,10,3,yes
2,72,34,58,10,20,48,26,2,no
6,54,16,56,20,20,32,18,4,yes
1,21,8,24,5,6,10,6,3,no
6,24,13,31,7,11,12,5,2,yes
1,25,8,19,6,1,22,6,1,no
2,18,9,16,14,6,31,7,3,yes
4,23,13,24,4,6,23,9,5,yes
1,28,10,26,1,3,19,12,4,no
3,17,11,19,4,4,25,10,1,yes
2,33,5,25,3,6,26,11,1,no
2,22,10,20,4,11,15,3,1,no
2,21,10,24,7,15,15,11,2,yes
3,26,7,26,5,7,17,6,1,no
1,26,6,26,7,4,15,7,1,yes
1,25,12,18,2,11,10,8,2,yes
1,28,13,25,4,12,21,15,4,no
3,24,14,25,4,4,18,4,5,no
8,27,6,28,7,8,10,11,5,yes
4,16,10,28,13,2,14,10,2,no
4,21,16,16,3,5,26,10,3,yes
2,24,6,19,0,3,19,11,4,no
3,20,15,21,3,4,24,7,2,no
2,29,7,25,6,11,14,15,3,yes
2,25,17,13,6,15,25,6,4,no
3,17,16,21,4,15,18,9,4,yes
1,26,9,23,5,11,17,5,4,no
5,24,12,21,3,9,5,9,0,yes
0,15,9,16,6,4,9,8,2,no
2,26,14,19,3,5,25,2,1,no
2,18,17,28,3,11,19,8,1,no
3,20,16,18,2,4,12,10,1,no
1,28,7,30,3,10,15,12,1,no
2,17,10,16,2,7,35,8,5,no
4,21,11,27,6,5,40,10,5,yes
4,33,8,24,9,10,32,8,2,yes
4,20,13,26,7,15,27,4,3,no
2,18,12,21,3,6,11,8,4,no
2,16,12,25,5,4,15,16,3,yes
3,27,12,20,2,10,22,13,1,yes
0,31,11,22,3,16,41,12,4,no
1,36,8,22,3,7,17,13,2,no
4,16,12,22,2,11,17,11,2,yes
3,18,8,28,10,3,20,2,5,yes
1,30,7,23,4,4,12,7,4,no
0,31,7,29,5,6,7,13,5,no
2,9,14,22,5,8,11,11,5,yes
4,22,14,32,2,10,18,8,5,yes
3,32,11,31,7,11,35,9,2,no
1,28,15,27,4,5,24,14,4,no
3,14,11,22,8,9,13,13,3,yes
0,25,24,16,9,2,34,10,2,yes
0,19,10,15,11,5,21,8,3,no
2,24,5,28,3,5,22,21,7,no
6,21,9,17,0,4,12,12,3,yes
1,26,16,28,5,5,18,16,10,yes
0,19,11,23,15,9,26,14,8,no
4,25,13,19,2,2,21,9,3,yes
2,25,9,30,2,4,14,9,1,no
2,19,11,32,2,11,25,14,1,no
3,34,12,19,5,7,35,12,1,yes
2,22,15,19,5,7,7,13,4,no
2,25,12,21,6,12,19,14,2,yes
5,19,11,28,3,5,23,7,5,yes
1,33,6,24,6,7,33,13,4,no
2,22,16,16,5,10,24,3,3,no
1,26,8,27,9,9,25,3,2,yes
3,25,9,27,6,4,12,8,2,yes
1,17,12,20,6,11,17,13,3,no
1,21,3,14,2,11,42,11,1,yes
1,17,16,16,5,9,14,13,0,no
1,27,17,23,4,14,16,11,1,yes
1,25,9,20,9,11,19,13,1,no
1,15,16,23,5,6,18,8,1,no
1,41,11,32,9,10,16,11,3,yes
3,14,14,24,3,11,15,13,2,no
2,26,11,28,8,20,10,15,3,no
3,26,5,25,6,5,16,12,2,yes
4,31,19,24,5,9,33,13,2,no
3,17,14,18,2,1,23,12,2,yes
1,33,14,26,2,9,20,8,2,no
4,28,11,27,8,7,19,8,4,yes
1,30,12,26,13,7,17,7,2,no
3,24,7,17,4,1,23,7,2,no
4,27,16,33,7,9,23,7,4,yes
0,26,18,27,8,4,31,10,3,no
1,20,12,21,12,3,31,9,1,yes
0,22,10,22,10,8,18,9,2,yes
0,30,12,24,14,12,18,9,3,no
3,21,12,23,2,6,17,12,2,yes
1,20,11,21,3,3,13,11,2,no
2,17,6,17,1,6,8,8,2,yes
2,22,11,23,1,8,11,13,3,no
4,22,8,23,8,6,23,9,3,yes
5,28,14,25,9,15,16,13,3,no
6,16,13,23,7,2,14,5,3,yes
5,35,11,25,9,3,33,12,3,no
3,22,11,21,3,2,19,8,7,yes
2,24,13,31,4,2,13,16,4,no
3,16,13,21,5,5,18,8,4,no
0,30,8,22,0,7,15,8,5,no
0,23,7,21,5,3,16,12,3,no
1,17,13,22,4,2,28,8,2,yes
2,23,12,22,5,6,14,13,2,no
3,24,14,28,9,8,18,9,1,yes
2,20,17,21,2,1,12,6,1,yes
0,20,7,19,5,10,21,13,2,no
2,33,7,32,6,8,17,9,3,yes
1,28,12,28,6,11,7,12,6,no
3,33,10,26,5,8,25,7,2,no
7,24,9,39,8,4,18,13,3,yes
6,14,8,26,0,0,14,7,4,yes
4,26,6,32,2,0,23,12,4,no
3,37,8,27,4,4,23,7,2,yes
0,23,9,27,5,2,29,7,5,no
2,16,8,29,2,14,14,13,2,no
3,22,10,28,3,11,19,9,2,no
2,17,20,23,2,2,9,6,3,yes
2,24,17,25,11,2,16,14,4,no
0,23,10,24,3,0,31,9,3,no
2,25,12,28,1,4,14,11,3,yes
1,21,8,15,5,8,13,6,4,yes
0,26,8,29,3,6,22,11,4,no
1,23,5,23,6,8,27,11,3,no
2,23,7,25,7,10,12,7,2,yes
5,27,9,25,9,11,13,8,1,yes
1,24,8,17,5,10,16,17,1,no
2,25,12,23,2,9,18,8,5,no
3,24,20,28,6,17,21,7,6,yes
3,21,10,20,6,9,21,6,3,yes
1,20,14,29,5,9,21,7,6,no
2,26,21,30,4,10,18,6,5,no
1,15,14,21,4,9,20,10,5,no
0,27,14,24,8,0,30,5,4,no
3,33,13,22,18,11,21,10,3,yes
0,30,4,27,3,6,22,13,0,no
2,17,15,17,5,8,36,10,1,yes
2,26,16,16,0,16,27,8,2,no
1,28,4,23,5,9,23,7,1,yes
3,29,8,22,3,12,35,10,3,no
6,23,12,25,5,14,10,6,2,yes
1,14,14,24,6,11,20,15,4,yes
0,26,11,18,2,11,23,14,5,no
2,25,10,19,0,5,16,10,3,no
2,12,4,21,7,2,27,5,2,no
2,19,10,21,5,9,23,9,3,yes
1,13,9,20,5,8,16,11,5,no
2,21,13,22,2,15,10,7,3,no
3,29,6,24,12,7,23,19,3,yes
7,28,5,27,4,1,19,4,3,yes
2,20,8,30,1,9,12,11,2,no
2,22,13,16,8,15,17,9,3,yes
1,17,8,16,12,24,10,14,2,no
1,29,12,23,1,6,18,10,2,yes
0,24,6,18,5,8,20,15,2,no
3,25,15,25,3,3,16,10,2,yes
1,20,3,17,8,8,12,8,1,no
3,18,9,28,6,2,12,8,3,yes
1,23,11,17,5,5,17,13,4,no
0,23,16,20,4,11,30,12,1,yes
1,31,14,32,8,26,22,14,1,no
2,27,13,29,6,6,47,7,1,no
2,15,13,18,16,9,27,7,0,yes
4,37,5,38,5,1,21,15,2,yes
2,20,16,21,8,7,8,8,5,no
5,20,15,26,11,6,16,6,3,yes
4,25,11,23,8,11,17,7,1,no
4,19,7,25,6,5,14,4,1,yes
2,29,10,21,5,16,41,6,3,no
1,38,10,36,9,13,26,11,6,no
7,16,12,25,9,18,35,11,6,yes
3,29,13,29,1,6,21,11,3,no
1,21,10,29,8,15,19,11,2,no
1,22,10,30,8,8,23,11,5,no
2,31,13,34,7,6,15,12,5,yes
2,17,16,24,2,5,22,5,4,yes
2,21,10,15,3,8,28,14,3,no
4,21,12,34,5,9,13,9,3,yes
1,20,9,18,4,10,23,17,3,no
2,15,7,23,2,4,29,16,3,no
6,27,13,26,5,5,18,18,2,yes
1,17,20,23,6,7,12,7,4,yes
1,20,6,31,6,6,29,14,3,no
1,33,6,28,0,2,7,9,2,no
2,23,14,32,0,2,11,10,3,yes
1,27,10,25,6,10,20,9,5,no
2,27,13,31,7,14,26,9,4,yes
3,21,15,23,3,5,23,5,3,yes
2,29,9,26,7,9,17,12,3,no
3,30,8,26,5,3,16,13,1,yes
0,33,8,23,6,7,20,7,2,no
0,20,5,23,2,0,21,5,1,no
2,25,10,14,2,2,28,4,2,yes
2,28,7,13,9,17,19,9,1,yes
0,23,11,25,2,10,37,4,2,no
3,29,13,32,2,7,17,10,6,yes
0,32,6,19,6,15,14,22,5,no
3,24,15,17,6,3,13,5,1,yes
0,28,10,21,7,7,10,6,3,no
3,22,10,34,4,8,21,11,9,no
4,21,12,26,3,9,20,8,9,yes
4,30,22,54,20,14,18,26,8,yes
0,52,14,62,14,40,32,22,2,no
2,31,12,33,6,4,11,13,2,yes
2,18,14,27,9,8,28,10,2,no
2,21,11,28,5,3,35,8,3,yes
0,40,8,29,8,3,39,8,5,no
5,27,9,32,0,10,14,7,6,no
4,17,16,26,4,11,13,5,5,no
2,28,11,32,2,5,30,8,1,yes
0,18,13,26,1,9,15,8,4,no
4,25,14,28,5,4,30,14,4,no
4,32,9,21,5,3,29,12,4,no
3,23,17,25,6,3,28,16,2,yes
3,22,15,30,8,9,19,12,3,no
3,23,14,18,5,10,20,12,6,no
4,31,8,32,6,5,23,14,5,yes
2,18,3,21,3,12,22,12,3,yes
0,24,10,28,2,14,29,7,1,no
0,19,8,17,8,12,28,6,5,no
0,32,11,24,13,15,11,14,3,yes
3,22,13,27,1,3,31,15,2,no
2,23,16,31,9,6,25,12,2,no
2,31,14,20,4,4,24,10,1,no
4,24,6,21,4,12,23,6,1,yes
2,24,15,21,8,4,20,16,3,no
2,29,6,31,8,5,20,13,4,yes
1,29,7,28,2,0,10,10,6,no
2,17,12,27,0,1,16,7,6,yes
2,31,5,28,5,9,25,5,1,no
0,26,9,22,4,8,28,14,2,yes
1,20,11,12,6,3,14,7,2,yes
0,22,12,25,1,8,21,13,0,no
2,32,12,23,0,1,12,13,3,no
3,21,9,27,4,8,12,9,3,yes
1,23,10,27,4,11,23,11,0,no
5,23,17,21,11,17,19,9,0,yes
3,16,11,19,1,13,16,12,4,no
4,21,8,29,2,7,12,13,2,yes
1,25,19,24,7,2,14,5,4,yes
0,30,15,18,5,3,16,16,4,no
3,21,8,26,5,3,22,19,4,yes
0,13,11,22,6,6,23,9,5,no
3,35,7,33,4,7,11,7,2,yes
0,20,11,21,6,7,11,12,3,no
2,27,12,27,2,10,25,17,4,no
