Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
3,31,11,21,8,10,23,7,3,no
6,21,13,29,6,10,31,8,3,yes
1,22,7,28,4,1,14,6,4,no
5,28,12,29,4,1,16,6,3,yes
4,26,22,28,6,13,31,12,5,no
4,26,17,33,3,8,14,16,4,yes
5,30,14,27,5,6,19,10,4,yes
3,28,17,29,4,10,18,10,2,no
4,28,19,26,3,2,20,8,4,yes
1,26,11,31,6,7,21,5,2,no
6,22,11,29,5,7,19,9,4,yes
4,22,7,28,6,9,20,7,3,no
2,33,6,30,3,6,13,9,5,no
2,16,13,22,11,19,26,15,5,no
4,29,20,30,6,6,25,12,5,yes
0,24,11,21,7,5,24,5,9,no
1,24,17,25,1,4,32,3,4,no
3,49,6,32,18,6,24,12,2,yes
3,40,9,34,4,8,27,14,3,yes
0,14,16,23,2,16,19,11,4,no
1,29,15,34,8,1,18,7,3,no
3,32,20,29,2,5,16,15,2,yes
3,23,18,25,5,11,22,8,5,no
3,29,12,29,8,11,21,5,4,yes
2,38,10,30,11,11,24,15,5,no
5,41,29,26,8,12,37,10,6,yes
3,27,22,26,1,8,18,14,4,no
3,33,11,33,5,11,21,14,3,no
2,20,13,33,7,1,29,11,1,no
5,24,21,24,7,9,30,5,1,yes
3,22,7,23,1,2,21,10,4,yes
3,30,9,35,3,7,17,11,6,no
2,19,7,23,1,5,27,6,5,yes
1,30,8,26,3,7,15,14,0,no
2,31,11,27,6,5,31,14,6,no
5,15,5,23,4,8,25,5,5,yes
2,35,6,24,1,2,8,9,3,no
5,32,8,24,3,3,14,11,4,yes
4,26,9,28,10,10,33,4,5,no
4,32,17,27,11,14,23,9,3,yes
3,20,10,32,4,6,12,10,7,no
5,19,19,26,9,9,33,12,6,yes
0,21,7,33,10,6,21,6,8,no
8,30,10,33,16,2,21,6,5,yes
1,24,9,35,5,5,14,11,5,no
1,26,7,19,6,13,23,13,4,yes
0,23,20,31,8,9,31,9,9,no
5,27,6,25,13,15,22,13,4,yes
2,29,9,29,1,4,23,11,2,no
4,17,16,33,5,9,14,15,5,yes
2,42,17,26,3,4,11,10,3,no
5,28,10,31,4,6,16,9,2,yes
3,37,6,35,5,8,15,12,5,yes
2,17,21,21,8,14,30,11,4,no
0,32,11,36,7,9,11,8,6,no
3,32,14,24,8,7,16,16,4,yes
5,31,21,21,3,12,34,9,3,yes
1,34,11,32,6,16,32,10,2,no
3,31,10,19,7,5,23,15,5,no
5,21,15,28,6,9,22,19,6,yes
1,21,17,23,4,3,23,8,1,no
1,31,18,22,3,2,29,17,2,yes
3,38,8,36,0,3,16,14,6,yes
3,28,11,28,2,15,18,10,6,no
2,20,18,23,4,0,29,7,4,no
6,14,9,29,6,5,26,14,2,yes
2,28,8,28,6,14,24,6,4,no
5,31,14,32,14,25,30,5,3,yes
3,19,7,30,4,9,43,5,5,no
3,22,9,32,6,4,32,10,4,no
0,27,12,27,2,10,26,17,6,no
1,16,17,28,7,9,31,10,4,yes
6,31,17,35,2,6,28,9,1,yes
1,21,12,27,2,11,24,14,3,no
3,26,11,25,2,4,11,7,5,yes
2,35,15,36,5,13,14,8,5,no
4,22,10,32,5,5,8,9,3,no
5,28,3,31,4,1,13,7,3,yes
4,20,12,15,2,6,10,8,5,yes
2,31,17,30,1,6,13,10,4,no
1,27,11,17,6,13,31,10,2,no
3,35,10,31,10,12,25,16,5,yes
2,25,12,23,6,9,14,12,7,no
5,27,8,26,5,17,10,12,4,yes
3,31,9,24,2,3,31,8,7,yes
1,25,13,30,3,8,17,12,5,no
2,30,13,37,7,4,30,9,5,no
4,24,20,35,5,5,21,15,5,yes
