Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
2,21,7,11,2,6,16,5,2,no
3,15,11,24,3,6,17,6,3,yes
0,16,4,20,2,1,10,2,3,no
4,22,8,22,3,0,13,4,2,yes
3,15,17,17,4,9,21,10,5,no
3,18,10,24,2,5,10,10,4,yes
2,23,9,20,2,6,16,6,3,yes
1,20,11,18,2,6,11,4,1,no
2,21,13,19,3,2,15,8,4,yes
1,19,9,20,5,5,16,2,2,no
4,19,5,22,3,5,15,5,2,yes
2,15,7,19,3,5,13,6,2,no
1,25,6,23,2,4,8,8,4,no
0,11,10,13,6,16,20,12,3,no
4,17,18,23,2,3,21,9,4,yes
0,21,6,17,5,2,16,4,6,no
1,13,13,17,1,3,18,1,4,no
2,38,2,23,8,5,15,10,2,yes
1,24,6,25,3,6,26,8,2,yes
0,11,9,14,2,10,16,8,2,no
1,26,9,24,3,0,13,6,1,no
1,21,15,21,1,4,11,8,2,yes
3,16,14,18,3,7,13,6,5,no
3,17,7,20,6,7,14,4,4,yes
2,26,9,22,7,5,13,11,3,no
4,29,23,18,6,4,26,6,5,yes
2,21,15,21,1,6,12,9,3,no
1,16,7,21,5,11,16,9,2,no
2,13,5,21,6,1,24,6,1,no
2,16,16,16,5,7,19,4,1,yes
1,17,6,14,1,2,16,7,3,yes
3,18,4,27,3,5,12,7,5,no
1,12,5,15,1,3,19,3,4,yes
0,26,7,19,3,5,12,8,0,no
2,22,7,17,5,0,22,9,5,no
3,10,3,16,4,6,13,4,4,yes
2,23,6,17,1,1,5,7,2,no
3,24,4,15,2,3,12,9,2,yes
2,21,6,26,8,7,24,4,5,no
4,23,11,20,8,8,12,6,3,yes
2,17,6,24,2,4,9,8,4,no
4,11,14,16,5,9,19,8,3,yes
0,11,6,25,7,4,20,2,5,no
4,20,8,20,13,2,17,2,3,yes
1,19,4,28,3,5,11,9,4,no
1,15,5,15,5,9,17,8,3,yes
0,17,15,22,7,3,21,1,5,no
4,20,5,18,9,8,12,8,3,yes
0,19,5,19,0,3,15,8,1,no
1,13,10,22,4,7,11,10,3,yes
1,27,16,18,2,4,7,5,2,no
1,21,7,20,2,4,11,9,2,yes
2,27,2,23,2,3,12,9,4,yes
1,11,13,17,6,9,21,8,2,no
