Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
3,29,10,21,6,10,22,6,3,no
6,21,12,29,6,10,29,7,3,yes
1,22,7,28,4,1,13,6,4,no
5,27,10,28,4,1,15,5,3,yes
4,25,21,27,6,13,30,12,5,no
4,24,17,33,3,8,13,14,4,yes
5,30,14,26,4,6,19,9,4,yes
3,28,17,29,4,10,17,8,1,no
4,27,17,26,3,2,20,8,4,yes
1,26,11,29,6,7,21,5,2,no
5,22,11,28,5,7,19,8,4,yes
3,21,7,25,6,9,20,7,3,no
2,33,6,29,3,6,13,9,5,no
2,16,13,21,11,19,26,15,5,no
4,28,20,29,5,5,25,12,4,yes
0,24,11,21,7,5,24,5,8,no
1,22,17,24,1,4,31,3,4,no
2,49,6,32,17,5,23,12,2,yes
2,40,8,34,4,8,27,14,3,yes
0,12,15,22,2,16,19,10,4,no
1,27,15,32,8,1,18,6,3,no
2,32,20,29,2,5,16,14,2,yes
3,22,18,24,5,10,20,8,5,no
3,29,12,29,7,11,21,5,4,yes
2,36,10,30,11,11,22,14,5,no
5,40,29,25,8,12,36,9,6,yes
3,27,22,26,1,8,18,14,4,no
2,29,11,31,5,11,21,13,3,no
2,20,13,31,7,1,29,9,1,no
4,24,21,24,7,9,29,5,1,yes
3,22,7,23,1,2,21,10,4,yes
3,29,8,34,3,7,16,11,5,no
2,19,7,21,1,4,27,5,5,yes
1,28,8,26,3,7,14,13,0,no
2,30,11,25,6,5,30,14,6,no
5,15,5,23,4,8,24,5,5,yes
2,33,6,24,1,2,7,9,3,no
5,31,7,21,3,3,14,11,4,yes
4,25,9,28,10,10,31,4,5,no
4,32,17,27,11,11,23,9,3,yes
3,20,10,31,4,6,12,9,5,no
5,19,17,26,9,9,33,11,5,yes
0,18,7,33,9,6,21,5,8,no
8,29,10,30,16,2,21,6,5,yes
1,23,9,34,5,5,14,11,4,no
1,24,7,19,6,11,23,12,4,yes
0,23,18,30,8,9,31,7,8,no
5,26,6,25,13,14,21,13,4,yes
2,28,9,28,1,4,22,11,2,no
3,17,16,31,5,9,14,12,4,yes
2,38,17,24,3,4,11,10,3,no
5,27,10,30,4,6,15,9,2,yes
3,37,5,35,5,6,14,12,5,yes
2,16,20,21,7,14,28,10,4,no
0,31,11,36,7,9,11,8,6,no
3,32,14,24,8,7,16,16,4,yes
5,30,21,20,3,12,32,9,3,yes
1,34,11,32,5,16,30,10,2,no
2,31,10,16,7,5,23,14,5,no
5,21,15,27,6,9,22,18,5,yes
1,20,16,21,4,3,23,8,1,no
0,29,18,21,3,2,28,17,2,yes
2,37,8,35,0,3,16,14,6,yes
3,28,11,27,1,15,18,9,6,no
2,19,18,23,4,0,29,7,4,no
5,14,9,28,6,4,25,14,2,yes
2,26,8,24,6,13,24,6,4,no
5,30,13,32,14,25,29,5,3,yes
3,19,6,30,4,7,41,4,5,no
3,22,9,32,5,4,32,9,4,no
0,23,12,26,2,9,26,16,6,no
1,16,17,27,7,9,31,9,4,yes
5,30,17,34,2,5,28,8,1,yes
1,21,12,26,2,10,24,14,2,no
3,26,9,22,2,3,11,7,2,yes
1,34,15,35,5,13,13,7,2,no
4,19,10,32,3,5,8,9,3,no
5,25,3,29,4,1,13,7,3,yes
3,20,12,14,2,6,10,8,5,yes
2,28,17,29,1,6,13,10,4,no
1,26,10,15,6,13,29,10,2,no
2,35,9,31,10,12,25,16,5,yes
2,21,12,21,6,9,14,11,7,no
4,27,8,24,5,16,10,11,4,yes
3,30,9,24,2,3,31,7,7,yes
1,23,13,29,3,8,17,11,5,no
2,28,13,35,7,4,30,8,5,no
