Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
3,23,10,17,4,9,21,5,3,no
4,19,11,26,5,7,20,7,3,yes
0,18,5,23,2,1,11,4,4,no
5,26,8,24,3,1,14,5,2,yes
4,18,19,23,6,11,23,11,5,no
3,20,15,29,3,7,11,12,4,yes
4,26,10,23,3,6,17,8,3,yes
2,22,16,23,2,8,15,4,1,no
3,24,16,21,3,2,18,8,4,yes
1,21,9,25,5,7,18,3,2,no
5,19,7,24,4,5,17,7,2,yes
3,17,7,22,3,7,13,7,2,no
1,30,6,24,3,5,12,9,4,no
0,13,11,16,8,19,22,15,4,no
4,19,19,25,3,5,23,11,4,yes
0,22,8,20,6,4,20,4,8,no
1,17,14,21,1,3,24,2,4,no
2,42,4,28,12,5,17,11,2,yes
1,32,7,29,3,8,26,10,3,yes
0,11,12,18,2,13,16,9,2,no
1,27,12,28,8,1,16,6,1,no
2,26,18,27,1,4,13,11,2,yes
3,17,15,20,4,7,17,7,5,no
3,19,10,23,7,9,15,5,4,yes
2,31,10,26,10,8,16,13,4,no
4,32,25,20,7,8,31,8,5,yes
2,23,17,23,1,7,15,12,4,no
1,22,9,25,5,11,19,12,3,no
2,15,10,26,7,1,26,7,1,no
3,19,18,19,6,8,25,5,1,yes
2,18,7,17,1,2,17,9,4,yes
3,22,6,30,3,7,15,10,5,no
2,17,7,21,1,3,22,4,4,yes
1,27,7,23,3,5,13,8,0,no
2,25,10,21,5,3,26,11,5,no
3,12,4,18,4,6,18,4,4,yes
2,28,6,19,1,2,6,7,2,no
3,28,7,20,3,3,12,10,3,yes
4,23,9,27,8,10,28,4,5,no
4,31,12,24,9,9,15,6,3,yes
3,19,6,28,2,4,10,9,4,no
5,15,15,20,6,9,27,8,5,yes
0,13,7,28,8,5,20,2,5,no
5,26,10,23,14,2,19,3,4,yes
1,21,8,32,5,5,12,10,4,no
1,18,7,15,6,11,20,9,4,yes
0,20,16,26,7,6,28,5,5,no
4,22,5,20,13,9,16,10,4,yes
1,22,5,23,1,4,19,10,1,no
2,15,11,27,4,8,12,10,3,yes
2,31,16,19,2,4,8,8,2,no
2,23,9,25,3,5,12,9,2,yes
3,34,2,29,3,4,13,10,4,yes
1,12,16,19,6,11,26,9,3,no
0,29,8,29,6,8,10,7,4,no
2,22,13,20,7,5,14,14,4,yes
4,26,20,18,2,9,27,8,3,yes
0,31,11,27,4,14,27,8,1,no
2,25,7,13,6,5,19,12,3,no
5,19,13,25,6,9,17,17,3,yes
1,19,13,20,3,3,20,7,0,no
0,27,18,19,2,2,25,13,2,yes
2,28,7,33,0,2,13,13,5,yes
3,23,11,20,1,9,14,8,6,no
1,16,14,17,3,0,26,6,4,no
3,10,7,23,5,4,21,11,2,yes
2,21,7,20,4,11,22,6,3,no
4,24,10,29,8,18,22,3,3,yes
3,15,5,26,3,6,36,3,5,no
3,19,8,30,4,4,30,8,3,no
0,19,11,21,2,5,17,13,5,no
0,12,15,22,7,8,27,8,4,yes
4,23,16,24,1,5,26,7,1,yes
0,20,8,25,1,9,20,12,1,no
3,24,7,20,1,3,11,5,1,yes
1,25,12,29,2,10,10,5,2,no
4,16,6,28,2,4,7,7,3,no
4,23,2,26,3,1,10,7,3,yes
2,15,7,10,2,6,10,7,4,yes
1,24,15,20,0,5,13,9,4,no
1,20,10,13,5,12,26,9,2,no
2,31,6,26,9,7,23,14,4,yes
1,20,10,20,5,6,9,9,6,no
4,24,8,20,4,13,9,10,3,yes
2,24,8,20,2,3,27,6,6,yes
0,22,10,24,2,6,14,9,3,no
2,25,8,33,6,4,21,7,4,no
2,17,14,21,3,5,18,14,4,yes
0,28,4,23,4,2,16,16,2,no
1,22,11,26,3,4,24,7,6,yes
4,20,14,26,6,6,15,6,4,yes
3,33,9,21,5,18,22,10,2,no
0,30,6,24,3,4,16,7,2,no
1,22,10,26,6,10,29,11,3,yes
5,21,8,31,4,1,18,4,4,yes
1,22,13,20,1,2,24,10,1,no
4,26,9,29,5,11,21,10,4,no
4,18,7,22,7,13,22,9,3,yes
4,19,13,21,1,2,38,3,3,no
4,17,14,29,2,4,31,6,2,yes
2,18,14,13,2,9,11,11,1,no
2,17,7,21,3,9,8,9,2,yes
3,21,8,24,3,3,14,13,4,yes
1,26,9,24,3,7,12,11,3,no
2,17,7,22,4,10,22,8,5,yes
3,33,14,27,10,7,19,14,5,no
3,20,11,23,1,4,9,6,2,yes
1,19,7,21,2,11,13,6,6,no
1,22,6,17,2,1,9,5,4,no
1,22,5,22,1,0,10,11,5,no
1,16,14,17,4,6,22,7,2,yes
1,21,6,27,2,6,19,5,3,no
3,19,14,26,3,3,35,12,6,no
4,19,11,21,3,3,25,13,1,no
2,17,9,25,7,4,20,8,5,no
5,18,12,23,5,4,21,7,3,yes
3,27,12,22,3,12,17,9,2,yes
2,18,13,34,6,11,17,15,3,no
3,13,9,19,6,8,16,11,2,no
2,25,8,24,6,4,21,10,4,no
1,21,11,20,0,11,17,4,3,no
4,27,17,33,1,11,16,5,1,yes
2,25,8,21,10,9,12,8,2,yes
2,27,6,30,4,14,17,18,4,no
2,27,7,19,7,7,22,10,3,yes
2,17,13,25,6,6,18,13,1,no
4,23,8,23,4,4,14,15,3,yes
0,21,17,16,2,15,42,5,7,no
6,26,4,26,4,2,17,6,6,yes
3,11,16,25,3,9,21,10,6,no
2,21,12,25,0,4,13,11,5,no
2,19,17,21,2,5,14,9,4,yes
3,20,9,31,2,2,15,14,1,no
3,22,9,22,4,4,21,6,3,no
3,23,8,14,6,3,36,8,2,no
2,18,7,26,6,7,22,6,4,no
0,23,8,23,4,10,24,4,4,no
3,20,14,16,6,14,23,3,4,yes
2,21,14,17,2,5,29,8,1,no
2,20,9,21,8,14,19,7,2,yes
1,22,10,27,2,0,6,9,4,no
2,21,19,21,3,3,8,13,4,yes
0,28,12,32,6,5,9,11,6,no
6,20,9,25,1,12,21,8,4,yes
1,25,20,25,3,5,22,11,4,no
4,19,12,19,5,7,21,6,3,yes
2,20,8,32,7,10,16,9,4,yes
2,30,16,23,6,6,16,8,3,no
1,13,9,28,4,5,16,9,3,no
5,14,13,21,8,4,24,11,1,yes
1,15,13,29,1,3,19,10,4,no
4,21,8,29,5,15,22,13,4,yes
2,26,6,28,2,3,20,7,2,no
4,19,8,22,4,4,21,11,2,yes
2,19,3,23,0,4,6,16,1,no
3,20,15,24,1,1,17,1,4,yes
3,15,9,20,5,8,28,7,2,no
3,22,12,20,6,5,18,5,3,yes
2,21,11,22,4,2,18,10,5,yes
2,15,15,28,7,8,28,10,4,no
0,20,9,28,5,3,15,8,2,no
2,21,5,20,9,7,8,11,1,yes
3,36,12,27,2,1,9,9,3,no
2,18,15,29,2,5,15,6,5,no
2,18,12,26,7,4,28,7,0,no
2,15,11,23,8,9,26,10,2,yes
1,19,9,17,10,9,26,7,2,no
4,25,13,17,7,8,22,5,3,yes
5,24,7,24,4,12,14,12,3,yes
3,25,11,28,6,10,30,5,5,no
2,29,9,19,4,4,19,9,1,yes
1,27,15,22,2,8,13,11,2,no
3,24,13,19,6,9,4,9,3,yes
2,21,2,21,6,12,10,13,3,no
3,24,7,29,3,1,15,9,4,yes
3,19,14,24,7,4,12,12,4,no
1,9,24,26,1,6,20,8,4,no
3,16,14,24,3,5,17,16,3,yes
0,22,13,18,2,5,31,16,2,yes
0,16,12,14,2,5,18,8,2,no
0,29,15,20,3,7,19,11,2,no
2,12,19,16,5,8,26,9,3,yes
1,29,11,19,6,9,17,12,1,no
4,19,11,30,3,7,24,9,4,yes
0,24,4,17,5,11,19,9,3,no
2,25,7,31,6,6,17,9,6,yes
2,16,8,14,4,1,18,5,4,no
3,21,3,31,5,3,16,15,1,yes
3,22,7,28,8,4,8,9,1,yes
2,20,3,24,9,11,7,10,4,no
2,28,16,19,1,2,16,8,1,no
2,27,11,19,0,8,14,14,3,yes
2,22,9,24,3,8,23,18,3,yes
2,21,13,28,11,18,19,15,4,no
2,18,8,20,2,6,13,17,3,no
3,9,9,21,2,6,20,3,3,no
2,15,13,24,9,6,7,7,2,no
1,29,9,26,4,8,12,12,2,yes
3,15,11,20,7,5,15,6,4,no
5,23,2,27,5,7,16,6,2,yes
6,26,16,38,14,18,20,14,4,yes
4,40,14,50,14,12,24,32,4,no
2,17,12,22,4,7,7,8,3,yes
1,21,8,22,9,10,14,6,2,no
1,13,14,21,6,7,17,8,4,no
1,18,9,21,6,8,18,7,2,yes
2,15,13,31,7,3,13,5,5,no
7,31,4,28,5,3,11,7,1,yes
1,16,11,20,4,3,20,4,3,yes
0,26,10,20,5,5,18,15,1,no
4,14,12,27,6,3,21,8,5,no
2,29,11,25,5,7,18,17,6,no
0,16,11,9,3,5,6,7,3,no
1,27,14,18,8,7,15,8,4,no
1,34,10,24,4,4,22,6,3,no
4,26,10,23,2,7,14,13,3,yes
1,11,9,9,7,11,25,11,2,no
4,15,5,25,7,9,16,4,3,yes
2,27,10,22,3,2,13,9,5,yes
2,15,10,25,3,8,11,2,3,no
3,14,15,28,6,6,12,10,3,yes
1,25,7,11,4,5,14,6,1,no
3,20,11,22,1,5,14,5,2,no
5,17,14,21,4,1,10,13,2,yes
0,26,12,20,7,9,21,10,4,no
0,26,11,21,12,15,21,13,3,yes
1,25,5,26,9,6,15,10,5,no
2,26,11,17,4,6,22,13,3,no
0,17,15,19,4,7,23,8,3,no
4,17,12,23,0,14,14,2,2,yes
3,17,10,18,3,16,18,10,6,yes
2,19,10,22,7,18,14,10,3,no
1,31,9,17,6,5,28,7,4,no
4,18,14,17,6,6,17,14,2,yes
2,23,7,25,3,5,8,9,6,no
5,22,12,18,5,4,7,7,8,yes
2,13,7,20,1,8,7,5,2,no
4,18,14,24,7,13,12,7,6,yes
0,16,16,21,4,1,14,12,3,no
0,27,11,25,3,4,12,20,3,yes
1,11,14,21,3,10,15,6,3,no
2,25,8,24,5,10,26,19,1,yes
1,14,13,25,7,4,18,5,1,no
2,23,14,24,18,2,21,16,2,yes
2,16,14,15,1,5,19,4,3,yes
1,25,9,21,1,10,12,9,2,no
2,24,9,20,4,6,14,10,3,no
2,22,10,28,10,1,13,6,5,no
3,19,8,24,4,11,20,7,5,yes
4,27,9,19,4,14,19,10,4,no
2,20,10,13,4,8,28,11,1,no
2,9,12,19,3,7,16,7,4,yes
2,34,10,21,7,8,13,14,1,no
3,17,19,19,8,9,28,10,3,yes
0,8,12,26,1,10,30,8,5,no
4,19,8,30,2,4,23,14,4,yes
2,19,10,19,0,0,13,2,7,no
4,24,7,26,3,2,17,8,6,yes
2,21,6,19,3,8,17,9,4,yes
2,21,5,29,4,9,12,12,3,no
1,22,19,25,4,12,20,3,7,yes
0,31,7,27,2,11,15,15,7,no
3,26,10,26,5,6,13,6,2,yes
1,20,12,23,8,12,8,17,4,no
3,19,15,21,6,8,16,6,3,no
3,22,8,28,7,9,16,10,2,yes
3,25,3,21,5,3,5,10,2,yes
1,16,16,28,6,2,19,5,4,no
6,22,9,21,4,12,21,9,3,yes
1,19,9,19,4,15,24,9,3,no
3,27,7,20,8,2,7,11,4,yes
3,29,6,30,7,10,12,14,3,no
3,24,10,21,1,10,15,9,3,no
3,17,6,25,2,3,11,14,5,yes
2,19,9,22,6,3,26,8,4,no
2,27,7,29,9,5,11,8,4,no
2,24,7,23,2,4,12,13,4,yes
1,26,6,23,1,1,9,8,5,no
1,26,12,19,7,9,33,5,3,no
2,28,9,18,5,9,23,5,2,yes
3,27,11,23,1,8,18,12,5,no
8,21,11,33,4,5,13,8,4,yes
3,18,3,26,2,0,4,12,2,no
2,23,14,24,1,4,13,8,4,yes
4,14,12,24,3,10,21,8,2,yes
1,17,18,20,4,13,25,10,2,no
1,19,9,27,4,7,19,12,4,no
1,18,15,8,6,7,19,9,6,yes
2,21,7,21,7,0,24,8,4,yes
3,19,13,21,6,10,14,13,3,no
2,26,8,24,0,1,16,7,4,no
4,18,15,18,4,1,15,8,3,yes
1,23,7,26,7,8,21,8,3,no
6,22,12,21,3,15,20,5,3,yes
2,14,5,14,2,9,10,9,4,no
2,18,10,13,9,8,16,7,1,no
3,17,6,29,10,2,22,8,3,yes
1,19,11,20,7,6,24,8,4,no
2,24,7,17,5,5,13,9,1,no
2,16,10,20,3,4,16,15,3,yes
1,29,7,23,5,3,20,9,2,yes
1,26,11,22,6,10,20,5,2,no
5,24,13,23,4,3,5,10,3,yes
3,15,7,19,7,7,11,7,2,no
3,22,11,24,8,7,29,4,2,no
2,23,19,26,4,7,18,5,1,no
2,22,16,23,0,2,14,5,4,no
4,21,13,25,1,2,12,6,3,yes
2,30,6,24,5,7,23,5,4,no
4,23,7,26,5,14,17,9,3,yes
1,14,10,24,4,7,15,8,2,no
3,23,17,16,5,9,14,10,3,yes
1,15,17,30,7,9,27,12,2,no
4,19,19,22,5,19,19,5,4,yes
1,23,20,22,10,3,18,9,4,no
2,24,12,29,5,7,8,8,4,yes
1,25,11,16,9,3,20,12,1,yes
2,20,13,22,6,9,24,10,1,no
1,13,10,21,0,1,12,6,4,no
5,19,7,18,2,4,16,8,4,yes
2,35,7,25,2,2,18,14,2,yes
1,17,10,21,3,12,18,3,2,no
5,34,9,20,7,7,11,11,0,yes
0,15,11,19,14,5,23,9,4,no
2,11,7,19,1,3,22,10,3,no
4,32,10,21,1,10,13,9,1,yes
1,23,6,23,7,6,17,6,3,no
3,22,13,23,10,10,16,9,4,yes
3,26,6,30,5,7,16,10,4,yes
5,26,12,20,6,5,14,10,3,no
2,19,8,21,5,2,21,6,2,no
6,19,17,27,8,3,18,3,4,yes
2,21,5,22,3,3,12,16,2,no
4,18,11,23,2,9,17,8,2,yes
