Goal,Shot,Blocked Shot,Faceoff,Takeaway,Giveaway,Hit,Missed Shot,Penalty,won
4,21,9,28,5,4,22,12,3,yes
2,21,3,26,1,4,9,16,2,no
3,24,16,29,1,1,17,4,4,yes
3,16,11,23,5,9,29,8,4,no
4,28,13,23,6,5,19,10,3,yes
4,24,11,23,4,2,20,10,5,yes
2,20,17,33,7,11,30,10,5,no
0,25,9,34,5,5,16,12,2,no
2,22,6,23,10,7,9,12,2,yes
3,38,13,32,2,1,11,11,3,no
3,24,16,31,2,6,15,7,6,no
2,24,14,28,7,4,31,14,0,no
2,16,12,25,9,9,31,10,2,yes
2,21,11,20,10,10,33,7,2,no
6,29,14,18,8,10,25,5,4,yes
5,29,10,27,5,15,17,16,3,yes
3,26,14,30,6,14,34,5,5,no
2,31,13,22,4,5,20,10,2,yes
3,33,18,27,2,11,15,13,2,no
3,28,15,23,9,9,7,10,4,yes
2,24,2,22,6,12,13,14,4,no
3,30,10,36,3,2,15,11,6,yes
3,24,16,27,8,4,12,15,5,no
2,13,25,29,3,7,23,12,4,no
3,18,16,29,3,6,18,17,4,yes
0,25,15,22,2,5,32,21,2,yes
0,16,14,16,4,5,24,9,2,no
1,32,16,23,4,9,19,14,3,no
2,12,21,19,6,8,30,11,4,yes
1,32,11,22,6,9,20,15,4,no
6,27,12,41,3,8,28,12,7,yes
1,26,6,20,5,14,24,13,3,no
2,29,8,38,7,6,21,9,6,yes
2,23,8,16,5,1,24,6,4,no
3,21,5,37,8,3,17,15,2,yes
4,26,9,31,8,6,9,10,1,yes
2,21,4,26,10,12,10,10,5,no
2,30,19,22,2,3,17,9,2,no
2,30,14,20,0,8,14,14,3,yes
3,28,13,26,3,8,29,19,3,yes
2,28,14,34,13,20,21,15,4,no
2,22,8,22,2,6,14,20,4,no
3,13,11,24,2,8,21,3,3,no
2,16,16,27,10,6,9,7,4,no
2,34,9,30,4,9,12,13,2,yes
3,21,11,22,8,6,17,8,5,no
5,27,5,29,6,9,18,8,2,yes
8,34,18,46,16,18,22,16,6,yes
6,44,18,62,18,16,34,32,4,no
2,19,14,25,5,7,7,9,3,yes
1,26,10,23,10,10,15,6,2,no
1,16,14,22,6,8,18,9,4,no
1,19,12,25,6,8,22,8,3,yes
3,21,14,36,8,6,13,6,5,no
7,33,5,29,5,3,12,8,3,yes
1,23,13,24,4,3,22,4,3,yes
0,29,11,23,5,6,22,19,1,no
4,15,14,32,6,4,24,8,7,no
3,36,12,29,5,8,20,20,6,no
1,21,13,12,3,7,9,7,4,no
1,33,16,22,10,7,17,13,4,no
1,36,13,28,4,4,24,9,3,no
5,30,11,28,2,9,16,16,3,yes
1,13,9,13,8,13,26,14,2,no
4,16,9,27,9,9,19,5,3,yes
2,36,11,24,4,3,13,11,5,yes
2,20,13,27,3,10,12,2,4,no
