,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,home_status,time_stamp,period,period_time
60,29,14,2,100.0,1.0,1.0,50.0,2,1,38,away,20210611_033530,3,16:42
61,22,28,2,0.0,0.0,1.0,50.0,20,15,42,home,20210611_033530,3,16:42
62,29,15,2,100.0,1.0,1.0,49.1,2,1,41,away,20210611_033628,3,16:50
63,23,28,2,0.0,0.0,1.0,50.9,20,15,43,home,20210611_033628,3,16:50
64,30,15,2,100.0,1.0,1.0,49.1,2,1,41,away,20210611_033727,3,17:44
65,23,28,2,0.0,0.0,1.0,50.9,20,15,43,home,20210611_033727,3,17:44
66,31,16,2,100.0,1.0,1.0,50.0,3,1,41,away,20210611_033840,3,18:55
67,23,28,2,0.0,0.0,1.0,50.0,20,15,45,home,20210611_033840,3,18:55
68,31,17,2,100.0,1.0,1.0,50.0,4,1,41,away,20210611_033938,3,18:55
69,23,28,2,0.0,0.0,1.0,50.0,20,15,45,home,20210611_033938,3,18:55
70,32,17,2,100.0,1.0,1.0,50.0,4,1,41,away,20210611_034038,3,19:21
71,23,28,2,0.0,0.0,1.0,50.0,20,15,45,home,20210611_034038,3,19:21
72,33,17,2,100.0,1.0,1.0,51.8,4,1,41,away,20210611_034136,3,20:00
73,23,28,2,0.0,0.0,1.0,48.2,20,15,45,home,20210611_034136,3,20:00
