,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,ice_tilt,time_stamp,period,period_time,rfc_prediction
40,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200229,2,00:00,yes
41,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200229,2,00:00,yes
42,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200229,2,00:00,yes
43,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200229,2,00:00,yes
44,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200229,2,00:00,yes
45,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200229,2,00:00,yes
46,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200229,2,00:00,yes
47,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200229,2,00:00,yes
48,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200229,2,00:00,yes
49,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200229,2,00:00,yes
50,-3,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,-68.0,20210613_200229,2,00:00,yes
51,-2,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,-1,18.0,20210613_201419,2,00:35,yes
52,-1,5,4,0.0,0.0,-2.0,-14.200000000000003,1,0,0,-202.0,20210613_201530,2,01:18,no
53,-1,5,4,0.0,0.0,-2.0,-5.799999999999997,1,0,1,-349.0,20210613_201627,2,01:55,no
54,-2,3,4,0.0,0.0,-2.0,-12.400000000000006,0,0,-1,-268.0,20210613_201723,2,02:47,no
55,-4,3,4,0.0,0.0,-2.0,-5.799999999999997,0,0,-1,-26.0,20210613_201820,2,03:02,no
56,-3,2,4,0.0,0.0,-2.0,-5.799999999999997,-1,0,0,-159.0,20210613_201921,2,04:11,no
57,-3,2,4,0.0,0.0,-2.0,0.0,-1,0,0,-380.0,20210613_202019,2,04:58,no
58,-3,2,4,0.0,0.0,-2.0,0.0,-1,0,0,-449.0,20210613_202117,2,05:19,no
59,-4,1,4,0.0,0.0,-2.0,-5.200000000000003,-1,0,1,-306.0,20210613_202231,2,05:56,no
60,-3,1,4,0.0,0.0,-2.0,0.0,-1,0,1,-211.0,20210613_202329,2,06:13,no
61,-1,1,4,0.0,0.0,-2.0,4.799999999999997,-1,1,1,-436.0,20210613_202429,2,07:01,no
62,-1,1,4,0.0,0.0,-2.0,4.799999999999997,-1,1,1,-436.0,20210613_202527,2,07:01,no
63,0,0,4,0.0,0.0,-2.0,9.0,-1,1,1,-538.0,20210613_202625,2,07:11,no
64,-1,0,4,0.0,0.0,-2.0,4.799999999999997,-1,1,1,-457.0,20210613_202725,2,08:03,no
65,0,0,4,0.0,0.0,-2.0,9.0,-1,1,1,-527.0,20210613_202823,2,08:42,no
66,-1,-1,4,0.0,0.0,-2.0,9.0,-1,1,1,-540.0,20210613_202920,2,09:03,no
67,-3,-1,4,0.0,0.0,-2.0,4.400000000000006,-1,1,1,-392.0,20210613_203035,2,10:22,no
68,-3,-1,4,0.0,0.0,-2.0,4.400000000000006,-1,1,1,-392.0,20210613_203133,2,10:22,no
69,-2,-1,4,0.0,0.0,-2.0,0.0,-1,1,1,-509.0,20210613_203233,2,10:22,no
70,-2,-1,4,0.0,0.0,-2.0,0.0,-1,1,1,-480.0,20210613_203317,2,10:52,no
71,-2,-1,4,0.0,0.0,-2.0,0.0,-1,1,1,-480.0,20210613_203426,2,11:53,no
72,-3,-1,4,0.0,0.0,-2.0,0.0,-1,2,1,-480.0,20210613_203524,2,12:32,no
73,-3,-1,4,0.0,0.0,-2.0,0.0,-1,2,1,-382.0,20210613_203624,2,12:44,no
74,-3,-1,4,0.0,0.0,-2.0,-4.0,-1,3,2,-556.0,20210613_203708,2,14:11,no
75,-2,-1,4,0.0,0.0,-2.0,-4.0,0,3,3,-758.0,20210613_203828,2,15:10,no
76,-2,-1,4,0.0,0.0,-2.0,-4.0,0,3,4,-758.0,20210613_203926,2,15:10,no
77,-2,-1,4,0.0,0.0,-2.0,-4.0,0,3,4,-827.0,20210613_204026,2,15:10,no
78,-2,-1,4,0.0,0.0,-2.0,0.0,0,3,4,-751.0,20210613_204124,2,15:38,no
79,-2,-1,4,0.0,0.0,-2.0,0.0,0,3,4,-610.0,20210613_204222,2,15:56,no
80,-2,-1,4,0.0,0.0,-2.0,-3.799999999999997,0,3,2,-545.0,20210613_204336,2,16:41,no
81,-4,-1,6,0.0,0.0,-3.0,-10.400000000000006,0,3,3,-341.0,20210613_204434,2,17:13,no
82,-3,-1,6,0.0,0.0,-3.0,-10.400000000000006,0,3,3,-421.0,20210613_204534,2,18:27,no
83,-3,0,6,0.0,0.0,-3.0,-10.400000000000006,0,3,3,-408.0,20210613_204632,2,18:49,no
84,-3,0,6,0.0,0.0,-3.0,-10.400000000000006,0,3,3,-477.0,20210613_204730,2,19:01,no
85,-3,0,6,0.0,0.0,-3.0,-13.400000000000006,0,3,3,-591.0,20210613_204830,2,19:23,no
86,-3,-1,6,0.0,0.0,-3.0,-9.0,0,3,5,-736.0,20210613_204928,2,19:58,no
87,-3,-1,4,0.0,0.0,-3.0,-12.400000000000006,0,3,5,-736.0,20210613_205037,2,20:00,no
88,-3,-2,4,0.0,0.0,-2.0,-9.0,0,3,5,-736.0,20210613_205137,2,20:00,no
89,-3,-2,4,0.0,0.0,-2.0,-9.0,0,3,5,-736.0,20210613_205235,2,20:00,no
90,-3,-2,4,0.0,0.0,-2.0,-9.0,0,3,5,-736.0,20210613_205333,2,20:00,no
91,-3,-2,4,0.0,0.0,-2.0,-9.0,0,3,5,-736.0,20210613_205433,2,20:00,no
92,-3,-2,4,0.0,0.0,-2.0,-9.0,0,3,5,-736.0,20210613_205528,2,20:00,no
93,-3,-2,4,0.0,0.0,-2.0,-9.0,0,3,5,-736.0,20210613_205626,2,20:00,no
94,-3,-2,4,0.0,0.0,-2.0,-9.0,0,3,5,-736.0,20210613_205724,2,20:00,no
95,-3,-2,4,0.0,0.0,-2.0,-9.0,0,3,5,-716.0,20210613_205838,2,20:00,no
96,-3,-2,4,0.0,0.0,-2.0,-11.799999999999997,0,3,5,-716.0,20210613_205936,2,20:00,no
