,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,home_status,time_stamp,period,period_time
0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,away,20210613_192309,1,00:08
1,0,0,0,0.0,0.0,0.0,100.0,0,0,0,home,20210613_192309,1,00:08
2,1,0,2,0.0,0.0,0.0,0.0,0,0,0,away,20210613_192413,1,01:26
3,1,0,2,0.0,0.0,0.0,100.0,0,0,0,home,20210613_192413,1,01:26
4,1,0,2,0.0,0.0,0.0,0.0,0,0,1,away,20210613_192515,1,02:11
5,1,1,2,0.0,0.0,0.0,100.0,1,0,0,home,20210613_192515,1,02:11
6,1,1,2,0.0,0.0,0.0,0.0,0,0,2,away,20210613_192616,1,02:59
7,3,1,2,0.0,0.0,0.0,100.0,1,0,0,home,20210613_192616,1,02:59
8,1,1,2,0.0,0.0,0.0,50.0,0,0,3,away,20210613_192720,1,02:59
9,3,1,2,0.0,0.0,0.0,50.0,1,0,1,home,20210613_192720,1,02:59
10,1,1,2,0.0,0.0,0.0,50.0,0,0,3,away,20210613_192812,1,03:40
11,3,1,2,0.0,0.0,0.0,50.0,1,0,1,home,20210613_192812,1,03:40
12,1,1,2,0.0,0.0,0.0,60.0,0,0,4,away,20210613_192906,1,03:50
13,3,1,2,0.0,0.0,0.0,40.0,1,0,1,home,20210613_192906,1,03:50
