,shots,blocked_shots,penalty_minutes,power_play_percentage,power_play_goals,power_play_chances,faceoff_percent,takeaways,giveaways,hits,home_status,time_stamp,period,period_time
60,14,1,2,0.0,0.0,2.0,66.7,4,1,14,away,20210613_195321,1,18:06
61,11,4,6,0.0,0.0,0.0,33.3,5,0,14,home,20210613_195321,1,18:06
62,14,1,2,0.0,0.0,2.0,57.1,4,1,14,away,20210613_195416,1,19:13
63,11,5,6,0.0,0.0,0.0,42.9,5,0,14,home,20210613_195416,1,19:13
64,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_195511,1,20:00
65,11,5,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_195511,1,20:00
66,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_195620,1,20:00
67,11,6,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_195620,1,20:00
68,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_195715,1,20:00
69,11,6,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_195715,1,20:00
70,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_195810,1,20:00
71,11,6,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_195810,1,20:00
72,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_195916,1,20:00
73,11,6,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_195916,1,20:00
74,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_200011,1,20:00
75,11,6,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_200011,1,20:00
76,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_200123,1,20:00
77,11,6,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_200123,1,20:00
78,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_200212,1,20:00
79,11,6,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_200212,1,20:00
80,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_200229,2,00:00
81,11,6,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_200229,2,00:00
82,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_200229,2,00:00
83,11,6,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_200229,2,00:00
84,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_200229,2,00:00
85,11,6,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_200229,2,00:00
86,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_200229,2,00:00
87,11,6,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_200229,2,00:00
88,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_200229,2,00:00
89,11,6,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_200229,2,00:00
90,14,1,2,0.0,0.0,2.0,57.1,4,1,16,away,20210613_200229,2,00:00
91,11,6,6,0.0,0.0,0.0,42.9,5,1,15,home,20210613_200229,2,00:00
